Encoded SMILES,log P,Ligand coordination bulkiness (Å$^3$)
OC1O->[Ir]<-OC1O,1.7084,6.710018840257114
OC1=O->[Ir]<-N=C1,-0.2794299999999999,8.808950402442093
OC1=N->[Ir]<-O=C1,-0.2794300000000001,8.933738651432886
OC1=C(O)O->[Ir]<-O1,0.345,3.927133235854204
NC1=O->[Ir]<-N=C1O,-0.99303,10.308164493427395
CN1->[Ir]<-O=CC=1O,-0.2284,11.022093518350779
O=C(S)[SH]1->[Ir]<-S=CC=1,1.3036,5.890699853781306
OC1=O->[Ir]<-n2ccsc21,0.8412999999999999,15.49677703219425
O=C1C=CC2=N->[Ir]<-N=C12,-1.1186600000000002,11.282246711599447
PC1=C(S)N->[Ir]<-S1,1.3737,4.051921484844995
ON1->[Ir]<-N=CCC=1,0.48607,9.183315149414469
SC1S->[Ir]<-SC1S,1.3577999999999997,4.176709733835787
C=C1C=N->[Ir]<-N=C1,0.8417399999999999,7.854266471708408
CS1->[Ir]<-NC=C1,0.7793000000000001,6.26506460075368
FC1(F)S->[Ir]<-SC1(S)S,1.9522,3.927133235854204
O=C1NN=CC2=S->[Ir]<-NN12,-0.98531,5.4263473268395055
CC1=C(S)N->[Ir]<-S1,0.9937,4.051921484844995
Clc1cccc2n1->[Ir]<-N=N2,1.6166999999999998,12.317108275642948
CC1=C(S)S->[Ir]<-N1,-2.2848,4.051921484844995
On12->[Ir]<-N=Cc1cnc2,0.11807,12.396519360345287
Clc1ccc2n(->[Ir]<-N=N2)c1,2.39747,12.441896524633739
CC1=O->[Ir]<-n2cscc21,1.3457,17.845285092360815
Clc1ccn2->[Ir]<-Nc2c1,1.3172,9.568256591653928
Brc1ccn2->[Ir]<-O=Cc2c1,1.6565999999999996,13.121025080535757
ClC1=O->[Ir]<-n2ccccc21,1.4606,12.996236831544966
[Be]1->[Ir]<-n2ccccc2NC=1,1.0390899999999998,9.0139162847427
Cc1non2->[Ir]<-N=Cc12,0.3756899999999999,12.146942862363707
c1cn2->[Ir]<-NCc2s1,0.6018,14.666881350451357
Brc1cccn2->[Ir]<-N=Nc12,2.50657,12.441896524633739
NCN1->[Ir]<-S=CN1,-1.046,5.925500322802671
ON1->[Ir]<-N(O)CC1,-1.056,7.084383587229488
CC1=N2->[Ir]<-S=C2NC=C1,1.4476099999999998,10.693105935666855
CN1(C)->[Ir]<-S=CN1,0.0098,8.138643438711355
CC1C=N->[Ir]<-N=C1,0.92164,7.854266471708408
CC1=N->[Ir]<-N=C1C,1.06574,11.407034960590238
NC(=O)COC1=S->[Ir]<-S=C1,-0.1845999999999996,3.8023449868634125
CSC1=S->[Ir]<-S=C1SC,2.3672000000000004,3.6775567378726213
c1cc2n(->[Ir]<-NC2)[nH]1,-0.1316000000000001,11.317047180620811
CSC1=S->[Ir]<-n2cc(F)sc21,2.3207000000000004,12.32894998555188
c1cc2c(cn1)O->[Ir]<-N2,0.3694,4.051921484844995
CS1->[Ir]<-NC(P)=C1,0.9821,6.26506460075368
Nc1cn2->[Ir]<-N(O)=Cc2s1,0.5334000000000001,15.621565281185042
