HOMO-LUMO gap (Eh),Metal center charge,Denticity,Isomer
0.2918437309240338,0.177938,0,0.0
0.0639348311077569,0.113645,0,0.0
0.087223,0.2582236011853828,1,
0.0969929999999999,0.3837256423541398,1,
0.3212770854920019,0.1241439999999999,0,0.0
0.0794219999999999,0.3306988580787899,1,
0.127747,0.1984033720765058,1,
0.152574,0.4755719546914863,1,
0.0995341652390904,0.155544,0,0.0
0.305028866385061,0.121448,0,0.0
-0.015212628062856,0.151607,0,0.0
0.1414819999999999,0.2334588076057767,1,
0.2629628663053437,0.120781,0,0.0
0.0585745177692452,0.1812129999999999,0,0.0
0.1255249999999999,0.2704721271207136,1,
0.154077,-0.1386121745720376,1,
0.2969607056977418,0.093014,0,0.0
0.130656,0.035496555109654,1,
0.0627280917357599,0.1319759999999999,0,0.0
0.5154680392747281,0.1390269999999999,0,0.0
0.1224096106104787,0.1145589999999999,0,0.0
0.131733,0.2555120476914635,1,
0.3825872186511411,0.111538,0,0.0
0.0321731835480547,0.116191,0,0.0
-0.0193990628757658,0.168308,0,0.0
0.12211,0.2162326329782896,1,
0.0998759999999999,0.3097692417892626,1,
0.2247248731725184,0.096012,0,0.0
0.1306779999999999,0.2558205878719389,1,
0.3216376652414968,0.137947,0,0.0
0.107621,0.287381598815989,1,
0.05993,0.5155751698281175,1,
-0.0114612062350403,0.146237,0,0.0
0.3614995229861925,0.1534579999999999,0,0.0
0.103687820506483,0.158274,0,0.0
0.099772,0.3468365788721178,1,
0.0832779999999999,0.3790308824076213,1,
0.282201130708717,0.1334179999999999,0,0.0
0.0139740529643418,0.137046,0,0.0
0.096159,0.3433021964064469,1,
-0.0194366899147662,0.161512,0,0.0
0.102368,0.3535594046863851,1,
0.3146477676954451,0.1324069999999999,0,0.0
0.1017029999999999,0.3927073846170372,1,
0.096047,0.3237312131618651,1,
0.135613,0.4722390908930965,1,
0.097478,0.3330832696469375,1,
0.169459,-0.0104235374298996,1,
0.12675,0.1311447970120619,1,
0.2717682676757934,0.147644,0,0.0
0.1293457446491348,0.177707,0,0.0
0.2875354155146343,0.107051,0,0.0
0.3318209823174713,0.108462,0,0.0
0.129416,0.2616885775535785,1,
0.3891907066203403,0.144913,0,0.0
0.3360298661797944,0.1070179999999999,0,0.0
0.3385101885752655,0.109046,0,0.0
-0.0183019097549176,0.119544,0,0.0
0.279750426624628,0.137074,0,0.0
0.3452991739352967,0.124258,0,0.0
0.1043909999999999,0.3470533578783019,1,
0.0914629999999999,0.24981708576629,1,
0.3613577177948162,0.0869109999999999,0,0.0
0.372655848624266,0.113175,0,0.0
0.175561,0.1228642642937745,1,
0.2131604551985207,0.138879,0,0.0
0.154561,0.099209144795021,1,
0.154383,0.0100174100601677,1,
0.117613,0.3656555946018969,1,
0.1322987207644707,0.140263,0,0.0
0.1102608773244645,0.1477049999999999,0,0.0
0.1143079999999999,0.3447964615843681,1,
-0.0159914696855118,0.113471,0,0.0
0.1217159459312935,0.129788,0,0.0
0.131955,0.3025831644440675,1,
0.3532683330184588,0.144477,0,0.0
0.0633349999999999,0.3905405060445739,1,
0.1235549999999999,0.3758816797817779,1,
0.100501,0.3726304469288246,1,
0.1441889999999999,0.1458079039372919,1,
-0.002157889308911,0.150813,0,0.0
-0.0052941200653771,0.156819,0,0.0
0.4046663726535355,0.129025,0,0.0
0.111701,0.3258126597265934,1,
0.1872869999999999,0.1156746228137091,1,
0.101187,0.358390510156936,1,
0.138578,0.1167415659944733,1,
0.126115,0.2590732390343493,1,
0.3333375925667226,0.081735,0,0.0
0.174164,-0.0383660456492357,1,
0.125072,0.2778146967107305,1,
0.2614182567592215,0.129725,0,0.0
0.099302,0.3360734492281904,1,
0.2782276002314637,0.135283,0,0.0
0.1629,0.1353518615104419,1,
0.1320869999999999,0.2627358707430364,1,
-0.0176157775925931,0.141029,0,0.0
0.101144,0.3442693962748956,1,
0.1135938420633954,0.1596969999999999,0,0.0
0.319316399763869,0.103202,0,0.0
