Encoded SMILES,log P,Ligand coordination bulkiness (Å$^3$)
[Li]<-n1ccc(C2CCc3ccccc3N2)cc1,3.181000000000001,7.604689973726825
[Li]<-n1cccc(-c2nc3ccccc3n2C)c1,2.635300000000001,7.604689973726825
[Li]<-n1ccc(NN=Cc2ccnc(C)c2)cc1,2.23102,7.604689973726825
[Li]<-n1ccn(C(C)=Nc2ccc(Cl)cc2)c1,3.1347000000000014,7.265125695775816
[Li]<-N1=COC(Nc2ccc(C)c(C)c2)C1C,2.4884400000000007,8.808950402442093
[Li]<-P12CC[Si](c3cccc(C)c3)(CC1)CC2,3.1599200000000014,6.26506460075368
[Be]=C1NC(N)=CN1c1c(C)ccc(C)c1C,1.7753499999999998,6.800773168834016
[Li]<-n1cccc(B2Oc3cccc(C)c3O2)c1,1.5566199999999997,7.604689973726825
[Li]<-n1ccc(-c2[nH]cnc2N)c(C(O)O)c1,0.0371,7.604689973726825
[Li]<-n1nnn(-c2ccc(C(=O)O)cc2)c1C,0.66892,6.336420641892215
[Li]<-n1ccc(C(=O)OCC)c(COCC)c1,1.7948,7.604689973726825
[Li]<-n1cn(-c2cccc3ccccc23)cc1C,3.3339200000000018,7.140337446785025
[Li]<-O=Cc1ccc2ccccc2c1N(C)C,2.718300000000001,3.9271332358542037
[Be]=C1N(CC)C=CN1Cc1ccccc1F,2.43069,6.675984919843224
[Be]=C1N(C)C(C)=C(N)N1Cc1ccccc1,1.5779900000000002,6.675984919843224
[Be]=C1NC=CN1CS(=O)(=O)c1ccccc1,0.7904900000000001,6.800773168834016
[Li]<-N=c1[nH]c(N)cn1Cc1ccc(Cl)cc1,1.57957,4.961994799897705
[Li]<-N1=CN(C(C)C)C2c3ccccc3CC2C1,2.652300000000001,7.389913944766607
[Li]<-n1ccc(C=Nc2cccc(F)c2)cc1,2.971300000000001,7.604689973726825
[Li]<-n1ccc(CO)c(-c2cccc(C)c2)c1,2.5493200000000007,7.604689973726825
[Li]<-n1ccc(-c2scc3ccccc23)cc1,3.963300000000001,7.604689973726825
[Li]<-n1ccc(C(C)=NNC(=S)N(C)C)cc1,1.2417,7.604689973726825
[Li]<-n1ccc(-c2nc3cc(Cl)ccc3o2)cc1,3.543200000000001,7.604689973726825
[Li]<-n1c(-c2ccccc2)c(C)c2n1CCC2,2.8047200000000005,7.0155491977942335
[Li]<-n1ccc(N=Cc2cccc(Cl)c2)cc1,3.4856000000000025,7.604689973726825
[Li]<-n1cccc(-c2cccc(C(C)=O)c2)c1,2.951200000000001,7.604689973726825
[Li]<-n1cc(C)c(OC)c(-c2ncccc2C)c1,2.7690400000000013,7.604689973726825
[Li]<-N#CC=C(c1ccccc1)N(CC)CC,2.8928800000000017,1.8387783689363106
[Be]=C1N(C)C=CN1Cc1c(F)cccc1Cl,2.693990000000001,6.675984919843224
[Be]=C1N(C)C(C#N)=C(C#N)N1CC(C)(C)C,1.5349499999999998,6.675984919843224
[Be]=C1N(CCO)C=CN1C(C)c1ccccc1,1.82499,6.675984919843224
[Li]<-P(Cl)(c1ccccc1)C(F)(F)C(F)(F)F,4.102700000000001,8.122734413513578
[Li]<-S=c1[nH]c(N)cn1Cc1cccc(C)c1,2.48461,1.8387783689363106
[Li]<-N=c1n(C)ccn1C(C)c1ccccc1,1.91537,4.961994799897705
[Be]=C1N(Cc2ccccc2)C=CN1C(C)(F)F,2.8843900000000016,6.675984919843224
[Be]=C1N(Cc2ccncc2)C=CN1C(C)C,2.07509,6.675984919843224
[Li]<-P(CN)(c1ccccc1)c1ccccn1,1.4305,5.765911604790515
[Li]<-N1=CC(Nc2c(C)cc(C)cc2C)CC1,2.866860000000001,7.729478222717616
[Be]=C1N(C)C=CN1Cc1ccc(C(C)=O)cc1,2.10409,6.675984919843224
[Be]=C1NC2=C(C=CNC2)N1c1cccnc1,0.81599,6.800773168834016
[Li]<-S=C1Cc2cc(C(F)(F)F)ccc2N1C,3.025100000000002,1.8387783689363106
[Li]<-n1cc(-c2ccccc2)n(CC(C)(C)C)c1,3.5962000000000023,7.265125695775816
[Be]=C1N(Cc2ccccc2)C=CN1C(C)C,2.6800900000000007,6.675984919843224
[Li]<-n1cccc(C(=O)N(N)c2ccccc2)c1,1.6021,7.604689973726825
[Be]=C1N(CC=C)C=CN1c1cc(C)cc(C)n1,2.47393,6.675984919843224
[Li]<-n1cccc(C(C)=NNC(=O)NCC)c1,1.1247000000000005,7.604689973726825
[Li]<-n1ccc(Nc2cc(C(C)(C)C)[nH]n2)[nH]1,2.1739,7.265125695775816
[Li]<-n1ccn(C)c1COc1ccc(Cl)cc1,2.6525000000000007,8.979115815721336
[Li]<-n1cc2ccc(C)cc2c2cnccc21,3.091420000000001,9.318680093672345
[Li]<-Nc1cccc(C(=O)Nc2ccccc2)c1,2.521100000000001,2.0883548669178933
[Li]<-N(=CC(C)C)c1ccc(NC(C)C)cc1,3.8652000000000015,9.318680093672345
[Be]=C1CC(COC)C(c2ccc(OC)cc2)O1,2.457990000000001,6.970172033505783
[Li]<-S=C(NN=C(C)c1ccccc1)N(C)C,1.8467,1.963566617927102
[Li]<-n1ccn(CC(=O)c2ccccc2F)c1,1.9051,7.265125695775816
[Li]<-Pc1cc(C(=O)OC)cc(C(=O)OC)c1,0.7602,2.0883548669178933
[Li]<-n1ccc(N=Cc2[nH]c(C)cc2C)cc1,2.77714,7.604689973726825
[Li]<-n1ccc(-c2c(C)cncc2C)c(C)c1,3.068860000000001,7.604689973726825
[Li]<-n1ccc(C(C)(C)N)c(-c2c[nH]c(C)c2)c1,2.57892,7.604689973726825
[Li]<-N#Cc1ccc2sc3ccccc3c2c1,3.926180000000001,3.6775567378726213
[Li]<-N#CC(F)(F)c1cccc(C)c1C(F)(F)F,3.629200000000001,1.963566617927102
[Li]<-P1(N2CCCCC2)C(C(C)=O)C1C(C)=O,1.798,5.176770828857923
[Li]<-N(=Cc1ccncc1)c1ccc(C)cc1,3.140620000000001,9.318680093672345
[Li]<-n1ccc(C=NNc2ccccc2)cc1,2.5276000000000005,7.604689973726825
[Li]<-n1cccc(NN=C(C)c2ccsc2)c1,2.9792000000000014,7.604689973726825
[Li]<-P1(C)C(c2ccccc2)=C1c1ccccc1,4.637700000000003,5.765911604790515
[Be]=C1N(C)C=CN1Cn1nc(C)c(Br)c1C,1.93483,6.675984919843224
[Li]<-P(c1ccccc1)=c1c(Cl)c1C(F)(F)F,4.038090000000002,3.6775567378726213
[Be]=C(NCc1ccco1)c1ccc(C)cc1,2.764710000000001,8.979115815721336
[Li]<-S(CC)C1=C(C(F)(F)F)c2ccccc2C1,4.269200000000002,3.9271332358542037
[Li]<-n1ccc(C(C)=O)c(-c2ccccc2)c1,2.951200000000001,7.604689973726825
[Li]<-N=C(CC)n1nccc1-c1ccccc1,2.785470000000001,5.4263473268395055
[Li]<-N#CC(c1ccc(C)cc1)c1ccsc1,3.7120000000000015,1.8387783689363106
[Li]<-P1(c2ccccc2)C(C)=C1c1ccccc1,4.196100000000003,5.516335106808932
[Li]<-n1cn(C(C)O)c2c1c(=O)n(C)c(=O)n2C,-1.0554999999999994,7.140337446785025
[Li]<-n1ccc(N=Nc2ccc(C)cc2)c(C)c1,4.113840000000002,7.604689973726825
[Li]<-n1cn(CC(C)=O)c2c(C)cc(C)cc21,2.24214,8.979115815721336
[Li]<-n1cnc(NC(=O)c2ccco2)cc1O,1.0275,8.344597875500293
[Li]<-n1ccc(N)c(C(=O)c2ccncc2C)c1,1.59822,7.604689973726825
[Li]<-n1cc(C)cc(Cc2cccc(C)c2)c1,3.289240000000002,7.604689973726825
[Li]<-N1=CN(C(Cl)C(C)=O)C(c2cccnc2)C1,1.6205,7.389913944766607
[Be]=C1N(CC)C=C(c2ccccc2)N1CC,2.6386900000000013,6.675984919843224
[Li]<-P1(OC)OC=CC(C)(c2ccccc2)O1,3.335600000000001,3.612781286145805
[Li]<-n1ccc(C2=CN(C)C(C(C)(C)C)N2)cc1,2.2872000000000003,7.604689973726825
[Be]=C1N(CC)C=C(c2ccccc2)N1CCO,1.61109,6.675984919843224
[Be]=C1NC=C(c2cccnc2)N1CC(C)C,1.93749,6.800773168834016
[Li]<-P(O)(c1ccccc1)c1cccc(F)c1,2.1657,5.00660541557868
[Li]<-P1=CCC=C(c2ccc(C)c(C)c2C)C1,4.147360000000004,4.051921484844995
[Li]<-N1=CC=CC2N=CNC21c1ccccc1,1.4801,10.817894184657646
[Li]<-n1ccc(CN(C)C)c(C(=O)OCC)c1,1.3199,7.604689973726825
[Li]<-S=C(Nc1c(C)cccc1C)NC(C)C,2.998240000000001,1.8387783689363106
[Be]=C1N(CCC(C)C)C=CN1CCC(C)C,3.1636900000000017,6.675984919843224
[Li]<-S1c2ccccc2Nc2cc(C)ccc21,4.203220000000002,3.6775567378726213
[Li]<-P1(c2ccccc2)OC1c1ccccc1,3.437800000000001,4.881817166587889
[Li]<-n1cccc(C=C(C)N2CCCC2=O)c1,2.0648,7.604689973726825
[Li]<-n1ccc(-c2nc3c(C)cccc3o2)cc1,3.198220000000002,7.604689973726825
[Li]<-Nc1ccc(C)c(-c2ccc(C)cc2)c1,3.552640000000001,2.0883548669178933
[Li]<-n1c(-c2ccc(O)cc2)[nH]c2ccccc21,2.9355,7.0155491977942335
[Li]<-n1csc(-c2nc3ccccc3[nH]2)c1C,2.9948200000000007,12.32894998555188
[Li]<-n1csc(-c2cccc(C(=O)OC)c2)c1,2.5967,10.61495986560636
[Be]=C1N(CC)C=C(c2ccccn2)N1CC,2.03369,6.675984919843224
[Li]<-n1cccc(C2Cc3ccccc3S2)c1,3.4711000000000025,7.604689973726825
[Li]<-S=C(N)P(c1ccccc1)c1ccccc1,2.3629000000000007,1.8387783689363106
[Li]<-n1oc(-c2ccc(Br)cc2)c2ccccc21,4.2573000000000025,8.55937390446051
[Be]=C1Nc2ccc(C(=O)OC)cc2N1OC,1.2627899999999996,8.005033597549284
[Li]<-P(C)=C(c1ccccc1)c1ccccc1,3.831400000000002,4.051921484844995
[Li]<-n1cc(COC)cc(-c2cc(C)[nH]c2C)c1,2.839940000000001,7.604689973726825
