Encoded SMILES,log P,Exact cone angle ($^\circ$)
CN(C)CCN1=Cc2ccccn2->[Ir]<-1,1.0620999999999998,193.3694318917624
FC(F)(F)c1cc(C(F)(F)F)n2->[Ir]<-n3ccccc3-c2n1,3.576200000000001,224.30763084380732
C1CN->[Ir]<-N1,-1.0961999999999998,168.57554965116955
Cc1ccn2->[Ir]<-n3ccc(C)cc3-c2c1,2.760440000000001,180.45543466461754
O=C(O)c1ccc(Cn2ccc3-c4ccccn4->[Ir]<-n32)cc1,2.691600000000001,235.54249812672853
c1ccc2c(c1)[nH]c1CNCc3[nH]c4ccccc4n3->[Ir]<-n12,2.729,211.51430780642826
Cc1ccc2ccc3ccc(C)n4->[Ir]<-n1c2c34,3.399840000000002,221.90831664685732
CC(C)(C)P1(CCP(->[Ir]<-1)(C(C)(C)C)C(C)(C)C)C(C)(C)C,7.144200000000008,234.0379524205584
c1cc2OCCCOc3cccc4cccn(->[Ir]<-n5cccc(c1)c25)c34,4.630900000000003,265.62507553986364
c1ccc(-c2nccn3->[Ir]<-n4ccccc4-c23)nc1,2.600600000000001,202.07631719779
c1ccn2->[Ir]<-n3ccccc3-c2c1,2.1436,180.43163305950208
c1ccc(P2(->[Ir]<-Nc3ccccc32)c2ccccc2)cc1,3.027000000000002,184.4015855974533
CC(C)N1CCN(->[Ir]<-1)C(C)C,0.9823999999999997,235.12626091060386
CC1CCC(C)P12CCP1(->[Ir]<-2)C(C)CCC1C,5.091800000000005,222.02158413776314
c1ccc2N->[Ir]<-Nc2c1,0.851,163.06678824413638
c1ccc(S2CP(->[Ir]<-2)(c2ccccc2)c2ccccc2)cc1,4.869100000000003,192.95623591626372
CC(C)(C)S1CCS(->[Ir]<-1)C(C)(C)C,4.049800000000003,202.2499185696583
Clc1ccc2-n3ccc(-c4ccccc4)n3->[Ir]<-n2n1,2.9827000000000012,204.41063283883028
c1ccc(P2(CCN->[Ir]<-O=2)c2ccccc2)cc1,1.9591999999999998,185.80978295608918
c1ccc(S2->[Ir]<-P(c3ccccc3)(c3ccccc3)c3cccc4cccc2c34)cc1,6.749200000000005,204.32239071985992
NC1=N2->[Ir]<-n3ccsc3N=C2c2ccccc21,1.9403,208.81633722260287
COC(=O)CC1CCP(->[Ir]<-P1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,5.574000000000005,223.29851001228508
CN1C=CN2CCCCCCCCN3C=CN(C)[C]3=[Be]->[Ir]<-[Be]=[C]12,2.756780000000001,294.76597807812794
Cc1cc(C)c(-c2ccn3->[Ir]<-NCCn23)c(C)c1,2.4340600000000006,198.39207379908547
CO1CCO(C)->[Ir]<-1,0.2792,181.3704455585094
CCCCN1=Cc2ccccn2->[Ir]<-1,2.3006,208.78760042300541
Cc1cc[n+](C=C2[O-]->[Ir]<-n3ccccc32)cc1,0.9934199999999997,186.68234948092174
c1ccc(P2(CCCP(->[Ir]<-2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,5.642300000000004,213.52504365720287
Cc1cccc2NCc3ccccn3->[Ir]<-n3ccccc3CNc3cccc(C)c3-c12,5.984640000000004,289.1834668025674
C1CN2->[Ir]<-N(CCN1)CC2,-1.2311999999999987,187.45440188574602
c1ccc2nc3sc4=S->[Ir]<-S=c4sc3nc2c1,4.364980000000001,187.73881400101791
CC(C)P1(CCN(C)(C)->[Ir]<-1)C(C)C,2.846700000000001,203.66659376295559
CCOC(=O)c1ccn2->[Ir]<-n3ccc(C(=O)OCC)cc3-c2c1,2.4970000000000008,193.65451219724898
