Encoded SMILES,log P,Exact cone angle ($^\circ$)
[Be]=[C]1N(CC)C=CN1Cc1c2ccccc2cc2ccccc12,4.597990000000003,179.7055477926442
[Li]<-n1ccc(N)c(N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c1,4.715000000000005,142.5026614648778
[Li]<-n1cccc2c1-c1ncccc1C2=O,1.688,172.08659251777706
[Li]<-P(C)(C)C,1.3577,114.23770814948988
[Li]<-n1ccn(Cn2nnc3ccccc32)c1,1.1336,133.48311200716833
[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1,3.4448000000000016,165.0002411482817
[Be]=[C]1N(Cc2ccccc2OC)C=CN1C(C)(C)C,3.0787900000000015,204.41494388410788
[Li]<-P(OCC)(OCC)c1ccccc1,2.6968000000000005,138.95353619455847
[Li]<-n1ccc[nH]1,0.40969999999999995,118.94211548316895
[Li]<-P(C)(C)c1ccccc1,2.0534,127.44191944777461
[Li]<-P(CCc1cc(-c2ccc(C)s2)sc1-c1ccc(C)s1)(c1ccccc1)c1ccccc1,8.497340000000005,168.48700232992852
[Li]<-S=C(NC)NN=C(C)c1ccco1,1.0975,200.47926544602532
[Be]=[C]1N(c2c(C)cc(C)cc2C)CCN1c1c(C)cc(C)cc1C,4.860010000000004,213.07494139189853
[Li]<-n1[nH]c(C)cc1C,1.0265399999999998,141.5325859328356
[Li]<-P(c1ccccc1-c1c(OC)cccc1OC)(C1CCCCC1)C1CCCCC1,7.143400000000007,220.20519608512032
[Be]=[C]1N(c2c(C)cc(C)cc2C)CCCN1c1c(C)cc(C)cc1C,5.250110000000006,220.91485777102503
[Li]<-N#Cc1ccc(-n2cccc2)cc1,2.34898,101.67712105280091
[Li]<-NC(C)C,0.3534999999999999,124.34450038170309
[Li]<-O=Cc1ccccc1,1.4990999999999999,99.1952670204603
[Be]=[C]1C(C)=C(C)N(C)N1C,1.1112900000000001,164.44705843071225
[Li]<-[S+](C)(C)[O-],-0.005299999999999971,120.3237295457535
