Encoded SMILES,log P,G parameter,Denticity,Isomer
OC1O->[Ir]<-OC1O,1.7084,32.33328028012097,1,1
OC1O->[Ir]<-OC1O,1.7084,31.243036765876173,1,2
OC1=O->[Ir]<-N=C1,-0.2794299999999999,33.26436415724972,1,1
OC1=N->[Ir]<-O=C1,-0.2794300000000001,32.930128919306064,1,1
OC1=N->[Ir]<-O=C1,-0.2794300000000001,33.04949864714308,1,2
OC1=C(O)O->[Ir]<-O1,0.345,32.19003660671654,1,1
NC1=O->[Ir]<-N=C1O,-0.99303,34.37052363520611,1,1
NC1=O->[Ir]<-N=C1O,-0.99303,35.01512016552602,1,2
CN1->[Ir]<-O=CC=1O,-0.2284,33.80550692344421,1,1
O=C(S)[SH]1->[Ir]<-S=CC=1,1.3036,41.301925831609104,1,1
O=C(S)[SH]1->[Ir]<-S=CC=1,1.3036,40.54591755530797,1,2
OC1=O->[Ir]<-n2ccsc21,0.8412999999999999,33.00175075600828,1,1
OC1=O->[Ir]<-n2ccsc21,0.8412999999999999,32.88238102817126,1,2
O=C1C=CC2=N->[Ir]<-N=C12,-1.1186600000000002,33.7100111411746,1,1
O=C1C=CC2=N->[Ir]<-N=C12,-1.1186600000000002,33.65430526818398,1,2
PC1=C(S)N->[Ir]<-S1,1.3737,46.657647620563424,1,1
PC1=C(S)N->[Ir]<-S1,1.3737,43.15613560401083,1,2
ON1->[Ir]<-N=CCC=1,0.48607,37.29906095814102,1,1
ON1->[Ir]<-N=CCC=1,0.48607,36.87728791978354,1,2
OC1O->[Ir]<-OC1O,-2.3922000000000003,30.91675950978832,1,1
OC1O->[Ir]<-OC1O,-2.3922000000000003,30.964507400923125,1,2
SC1S->[Ir]<-SC1S,1.3577999999999997,39.20897660353335,1,1
SC1S->[Ir]<-SC1S,1.3577999999999997,47.79563902594302,1,2
C=C1C=N->[Ir]<-N=C1,0.8417399999999999,35.93028807894318,1,1
C=C1C=N->[Ir]<-N=C1,0.8417399999999999,35.93824606079899,1,2
CS1->[Ir]<-NC=C1,0.7793000000000001,34.855960528409994,1,1
CS1->[Ir]<-NC=C1,0.7793000000000001,28.91134808212637,1,2
FC1(F)S->[Ir]<-SC1(S)S,1.9522,52.3396466656056,1,1
FC1(F)S->[Ir]<-SC1(S)S,1.9522,39.415884131784175,1,2
O=C1NN=CC2=S->[Ir]<-NN12,-0.98531,36.34410313544485,1,1
CC1=C(S)N->[Ir]<-S1,0.9937,52.14069711921056,1,1
CC1=C(S)N->[Ir]<-S1,0.9937,47.62852140697119,1,2
Clc1cccc2n1->[Ir]<-N=N2,1.6166999999999998,37.09215342989018,1,2
CC1=C(S)S->[Ir]<-N1,-2.2848,38.3176826356836,1,2
On12->[Ir]<-N=Cc1cnc2,0.11807,36.25656533503104,1,1
On12->[Ir]<-N=Cc1cnc2,0.11807,36.33614515358905,1,2
Clc1ccc2n(->[Ir]<-N=N2)c1,2.39747,34.10791023396467,1,1
Clc1ccc2n(->[Ir]<-N=N2)c1,2.39747,34.26706987108069,1,2
CC1=O->[Ir]<-n2cscc21,1.3457,33.28823810281713,1,1
CC1=O->[Ir]<-n2cscc21,1.3457,33.47922966735636,1,2
Clc1ccn2->[Ir]<-Nc2c1,1.3172,29.83447397739933,1,1
