Encoded SMILES,log P,G parameter,Denticity,Isomer
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0
NC12NC(Cl)=CN1C=[Be]->[Ir]<-n1ccccc12,0.6390900000000004,45.949387235397104,1,0
CC12C=CC3P1->[Ir]<-S=CC2(C)C3(P)P,2.828100000000002,50.0238739455674,1,1
C1=N->[Ir]<-n2c([nH]c3ccccc32)CN(c2ccccc2)C1,3.219070000000001,47.26245424160432,1,1
CC1(C)OCC2(CCS3->[Ir]<-S(CCC3)C2)O1,2.768300000000001,46.17221072735954,1,0
O=C(COC1=S->[Ir]<-S=C1)Nc1ccccc1,1.9688,56.11173006525545,1,0
CC1(C)COC2(O1)P->[Ir]<-n1ccccc12,1.8924,49.76921852618176,1,0
CN(C)C12C=CC=CN1->[Ir]<-[Be]=C1C=CC=CN12,1.2991899999999998,44.54878242877607,1,0
COC(=O)c1ccccc1N1->[Ir]<-Oc2cnccc21,2.317400000000001,51.7587139901321,1,1
c1ccc(N23->[Ir]<-n4ccccc4C2CNC3)cc1,2.1899999999999995,44.198631227120806,1,1
C1=NC2(N->[Ir]<-n3ccccc32)C(c2ccccc2)O1,1.9929,47.22266433232532,1,0
Cn1cccc1-c1cccc2n1->[Ir]<-n1ccccc1-2,3.1491000000000016,44.62836224733408,1,0
SC1NCc2ccccn2->[Ir]<-n2ccccc21,2.1948,45.30479070507719,1,1
Nc1nn2c(c1-c1ccccc1Br)P->[Ir]<-PC2,2.2278,50.18303358268344,1,0
C1=NC(c2ccccc2)C2(C=N->[Ir]<-N2)O1,1.0907699999999998,45.71064777972306,1,0
C=CCS1->[Ir]<-S(CC=C)CC1,2.824800000000001,47.72401718924081,1,0
C=C(C)C1(S)CS(C(C)C)->[Ir]<-S1,3.2600000000000025,50.23078147381824,1,1
CC(O)S1->[Ir]<-SCC1(S)CO,0.6060999999999999,44.7875218844501,1,1
C=CC1(S)CS(C(=C)C)->[Ir]<-S1,2.9951000000000016,57.146267706509626,1,0
Cn1ccc(C2=O->[Ir]<-n3ccccc32)c1,1.6510999999999998,34.418271526340924,1,1
ON1->[Ir]<-N2=C(OC(C(F)(F)F)C2)C=1C(F)(F)F,1.7385,34.40235556262931,1,0
c1c[nH]c2nn3->[Ir]<-n4cccnc4-c3c-2c1,1.3664999999999998,34.33869170778291,1,0
Cc1ccc(NC2=O->[Ir]<-n3ccccc32)cc1,2.6423200000000007,33.97262454241604,1,1
c1cc2c(cn1)O->[Ir]<-N2,0.3694,31.09979309247175,1,0
Cc1ccc2n(->[Ir]<-O=C2)c1,1.20252,33.7020531593188,1,0
CCCn1ccn2->[Ir]<-N(C)=Nc12,2.0066,33.86121279643483,1,1
Cc1con2->[Ir]<-n3occ(C)c3-c12,1.94644,33.88508674200223,1,0
Oc1ccc(-c2nc3n(->[Ir]<-n4ccncc4-3)[nH]2)cc1,1.6342999999999994,34.13974216138787,1,0
CCOC(=O)c1c(C)[nH]n2->[Ir]<-n3ccccc3-c12,1.95682,34.2989017985039,1,0
OC1=N->[Ir]<-O=C1c1ccccc1,1.40457,33.1052045201337,1,0
Brc1ccn2->[Ir]<-O=Cc2c1,1.6565999999999996,33.90100270571383,1,1
CN1->[Ir]<-Nc2ncccc21,0.7055,34.13178417953208,1,1
CSC1=O->[Ir]<-n2ccccc21,1.5848,33.749801050453605,1,0
CC(=O)OC1=O->[Ir]<-n2ccccc21,0.7848999999999999,33.61451535890498,1,0
c1ccn2->[Ir]<-n3c[nH]cc3-c2c1,1.4716999999999991,34.354607671494506,1,0
CC(C)Cc1ccn2->[Ir]<-N3=C(CCC3)c2c1,2.8630000000000013,34.33869170778291,1,0
C1=CC2(C=N->[Ir]<-N2)CCC1c1ccccc1,2.467270000000001,34.21932197994589,1,0
CCCCn1cc2n(->[Ir]<-n3ccccc3-2)n1,2.140199999999999,34.34664968963871,1,1
CC1CCC2N->[Ir]<-N(O)=C2C1,0.9639000000000002,34.11586821582047,1,1
Fc1cccc(N2->[Ir]<-O=C3CCC4(C=CC=CC4)C=23)c1,3.763600000000003,36.089447716059205,1,1
O=Cc1ccccc1C=N1->[Ir]<-N(=Cc2ccccc2Cl)CC1,3.690500000000003,37.88795161547032,1,1
Brc1cccc(-n23->[Ir]<-n4ccccc4-c2ccn3)c1,3.6968000000000014,41.05522839407927,1,0
CSc1cc(-c2ccccc2)cn2->[Ir]<-n3ccccc3-c12,4.532500000000003,36.089447716059205,1,1
CN1->[Ir]<-N(c2ccccc2)=C2C=CC3(C=CC=CC3)C=12,3.902200000000003,36.781792137513925,1,0
CC1=N->[Ir]<-N(c2ccccc2)=CC12C=CC=CC2,3.9310700000000014,42.86964825720198,1,1
c1ccc(N2->[Ir]<-O=c3c=2ccc2ccccc32)cc1,3.6688000000000014,35.28569154862327,1,0
Nc1c[nH]c2c1SC(=C1c3ccccn3->[Ir]<-n3ccccc31)S2,4.001800000000001,41.62820308769695,1,1
Cc1cccn2->[Ir]<-n3c(-c4ccccc4)cccc3-c12,4.119020000000004,43.09247174916441,1,1
Cc1cccn2->[Ir]<-n3ccc(-c4ccccc4)cc3-c12,4.119020000000004,35.341397421613884,1,0
c1ccc(NC2=S->[Ir]<-S=C2Nc2ccccc2)cc1,3.865400000000001,36.20085946204043,1,0
FC(F)(F)S1->[Ir]<-S(C(F)(F)F)CC1,3.492400000000001,42.583160910393126,1,0
c1ccc(-c2c3n(->[Ir]<-n4ccccc4-3)nc3ccccc23)cc1,4.358800000000002,35.4368932038835,1,0
