Encoded SMILES,log P,G parameter,Denticity,Isomer
[Li]<-n1ccc(C2CCc3ccccc3N2)cc1,3.181000000000001,20.24510584115868,0,0
[Li]<-n1cccc(-c2nc3ccccc3n2C)c1,2.635300000000001,20.635046952092953,0,0
[Li]<-n1ccc(NN=Cc2ccnc(C)c2)cc1,2.23102,22.385802960369247,0,0
[Li]<-n1ccn(C(C)=Nc2ccc(Cl)cc2)c1,3.1347000000000014,19.30606398217412,0,0
[Li]<-N1=COC(Nc2ccc(C)c(C)c2)C1C,2.4884400000000007,21.717332484481936,0,0
[Li]<-P12CC[Si](c3cccc(C)c3)(CC1)CC2,3.1599200000000014,21.231895591278054,0,0
[Be]=C1NC(N)=CN1c1c(C)ccc(C)c1C,1.7753499999999998,30.10504536049658,0,0
[Li]<-n1cccc(B2Oc3cccc(C)c3O2)c1,1.5566199999999997,20.889702371478595,0,0
[Li]<-n1ccc(-c2[nH]cnc2N)c(C(O)O)c1,0.03710000000000002,20.714626770650963,0,0
[Li]<-n1nnn(-c2ccc(C(=O)O)cc2)c1C,0.66892,21.502466974375295,0,0
[Li]<-n1ccc(C(=O)OCC)c(COCC)c1,1.7948,21.72529046633774,0,0
[Li]<-n1cn(-c2cccc3ccccc23)cc1C,3.3339200000000018,22.481298742638867,0,0
[Li]<-O=Cc1ccc2ccccc2c1N(C)C,2.718300000000001,19.552761419703963,0,0
[Be]=C1N(CC)C=CN1Cc1ccccc1F,2.4306900000000002,32.34919624383256,0,0
[Be]=C1N(C)C(C)=C(N)N1Cc1ccccc1,1.5779900000000002,28.26675155180646,0,0
[Be]=C1NC=CN1CS(=O)(=O)c1ccccc1,0.7904900000000001,34.49785134489894,0,0
[Li]<-N=c1[nH]c(N)cn1Cc1ccc(Cl)cc1,1.57957,22.982651599554348,0,0
[Li]<-N1=CN(C(C)C)C2c3ccccc3CC2C1,2.652300000000001,21.04886200859462,0,0
[Li]<-n1ccc(C=Nc2cccc(F)c2)cc1,2.971300000000001,20.555467133534936,0,0
[Li]<-n1ccc(CO)c(-c2cccc(C)c2)c1,2.5493200000000007,21.38309724653828,0,0
[Li]<-n1ccc(-c2scc3ccccc23)cc1,3.963300000000001,20.388349514563107,0,0
[Li]<-n1ccc(C(C)=NNC(=S)N(C)C)cc1,1.2417,20.41222346013051,0,0
[Li]<-n1ccc(-c2nc3cc(Cl)ccc3o2)cc1,3.5432000000000015,20.539551169823334,0,0
[Li]<-n1c(-c2ccccc2)c(C)c2n1CCC2,2.8047200000000005,27.61419703963075,0,0
[Li]<-n1ccc(N=Cc2cccc(Cl)c2)cc1,3.4856000000000025,20.650962915804552,0,0
[Li]<-n1cccc(-c2cccc(C(C)=O)c2)c1,2.951200000000001,20.722584752506766,0,0
[Li]<-n1cc(C)c(OC)c(-c2ncccc2C)c1,2.7690400000000013,20.253063823014482,0,0
[Li]<-N#CC=C(c1ccccc1)N(CC)CC,2.8928800000000017,21.239853573133857,0,0
[Be]=C1N(C)C=CN1Cc1c(F)cccc1Cl,2.693990000000001,32.01496100588891,0,0
[Be]=C1N(C)C(C#N)=C(C#N)N1CC(C)(C)C,1.5349499999999998,29.85834792296674,0,0
[Be]=C1N(CCO)C=CN1C(C)c1ccccc1,1.82499,30.749641890816488,0,0
[Li]<-P(Cl)(c1ccccc1)C(F)(F)C(F)(F)F,4.102700000000001,25.696323412382622,0,0
[Li]<-S=c1[nH]c(N)cn1Cc1cccc(C)c1,2.48461,23.8500716218367,0,0
[Li]<-N=c1n(C)ccn1C(C)c1ccccc1,1.9153699999999996,27.892726404583794,0,0
[Be]=C1N(Cc2ccccc2)C=CN1C(C)(F)F,2.8843900000000016,32.26165844341875,0,0
[Be]=C1N(Cc2ccncc2)C=CN1C(C)C,2.07509,29.19783542893522,0,0
[Li]<-P(CN)(c1ccccc1)c1ccccn1,1.4305,25.75998726722903,0,0
[Li]<-N1=CC(Nc2c(C)cc(C)cc2C)CC1,2.866860000000001,20.292853732293487,0,0
[Be]=C1N(C)C=CN1Cc1ccc(C(C)=O)cc1,2.1040900000000002,30.168709215342986,0,0
[Be]=C1NC2=C(C=CNC2)N1c1cccnc1,0.81599,28.89543211841477,0,0
[Li]<-S=C1Cc2cc(C(F)(F)F)ccc2N1C,3.025100000000002,22.751870125736115,0,0
[Li]<-n1cc(-c2ccccc2)n(CC(C)(C)C)c1,3.5962000000000023,19.50501352856915,0,0
[Be]=C1N(Cc2ccccc2)C=CN1C(C)C,2.6800900000000007,30.42336463472863,0,0
[Li]<-n1cccc(C(=O)N(N)c2ccccc2)c1,1.6020999999999999,20.9454082444692,0,0
[Be]=C1N(CC=C)C=CN1c1cc(C)cc(C)n1,2.47393,31.911507241763484,0,0
[Li]<-n1cccc(C(C)=NNC(=O)NCC)c1,1.1247000000000005,21.852618176030557,0,0
[Li]<-n1ccc(Nc2cc(C(C)(C)C)[nH]n2)[nH]1,2.1738999999999993,22.17093745026261,0,0
[Li]<-n1ccn(C)c1COc1ccc(Cl)cc1,2.6525000000000007,26.46028967053955,0,0
[Li]<-n1cc2ccc(C)cc2c2cnccc21,3.091420000000001,23.969441349673723,0,0
[Li]<-Nc1cccc(C(=O)Nc2ccccc2)c1,2.5211000000000006,30.980423364634728,0,0
[Li]<-N(=CC(C)C)c1ccc(NC(C)C)cc1,3.8652000000000024,24.574247970714627,0,0
[Be]=C1CC(COC)C(c2ccc(OC)cc2)O1,2.4579900000000006,27.017348400445645,0,0
[Li]<-S=C(NN=C(C)c1ccccc1)N(C)C,1.8467,25.608785611968802,0,0
[Li]<-n1ccn(CC(=O)c2ccccc2F)c1,1.9050999999999998,20.332643641572496,0,0
[Li]<-Pc1cc(C(=O)OC)cc(C(=O)OC)c1,0.7602,23.507878402037246,0,0
[Li]<-n1ccc(N=Cc2[nH]c(C)cc2C)cc1,2.77714,21.75712239376094,0,0
[Li]<-n1ccc(-c2c(C)cncc2C)c(C)c1,3.068860000000001,20.555467133534936,0,0
[Li]<-n1ccc(C(C)(C)N)c(-c2c[nH]c(C)c2)c1,2.57892,21.09660989972943,0,0
[Li]<-N#Cc1ccc2sc3ccccc3c2c1,3.9261800000000013,19.90291262135922,0,0
[Li]<-N#CC(F)(F)c1cccc(C)c1C(F)(F)F,3.629200000000001,21.74120643004934,0,0
[Li]<-P1(N2CCCCC2)C(C(C)=O)C1C(C)=O,1.798,27.08101225529206,0,0
[Li]<-N(=Cc1ccncc1)c1ccc(C)cc1,3.140620000000001,23.014483526977557,0,0
[Li]<-n1ccc(C=NNc2ccccc2)cc1,2.5276000000000005,22.59271048862008,0,0
[Li]<-n1cccc(NN=C(C)c2ccsc2)c1,2.9792000000000014,24.056979150087535,0,0
[Li]<-P1(C)C(c2ccccc2)=C1c1ccccc1,4.637700000000003,23.109979309247176,0,0
[Be]=C1N(C)C=CN1Cn1nc(C)c(Br)c1C,1.93483,34.04424637911825,0,0
[Li]<-P(c1ccccc1)=c1c(Cl)c1C(F)(F)F,4.038090000000002,26.770650962915802,0,0
[Be]=C(NCc1ccco1)c1ccc(C)cc1,2.764710000000001,28.648734680884928,0,0
[Li]<-S(CC)C1=C(C(F)(F)F)c2ccccc2C1,4.269200000000002,24.66178577112844,0,0
[Li]<-n1ccc(C(C)=O)c(-c2ccccc2)c1,2.951200000000001,20.770332643641574,0,0
[Li]<-N=C(CC)n1nccc1-c1ccccc1,2.785470000000001,27.9404742957186,0,0
[Li]<-N#CC(c1ccc(C)cc1)c1ccsc1,3.7120000000000024,21.22393760942225,0,0
[Li]<-P1(c2ccccc2)C(C)=C1c1ccccc1,4.196100000000003,25.640617539392007,0,0
[Li]<-n1cn(C(C)O)c2c1c(=O)n(C)c(=O)n2C,-1.0554999999999994,21.948113958300173,0,0
[Li]<-n1ccc(N=Nc2ccc(C)cc2)c(C)c1,4.113840000000002,20.547509151679133,0,0
[Li]<-n1cn(CC(C)=O)c2c(C)cc(C)cc21,2.24214,21.502466974375295,0,0
[Li]<-n1cnc(NC(=O)c2ccco2)cc1O,1.0274999999999999,23.348718764921216,0,0
[Li]<-n1ccc(N)c(C(=O)c2ccncc2C)c1,1.59822,20.261021804870285,0,0
[Li]<-n1cc(C)cc(Cc2cccc(C)c2)c1,3.289240000000002,23.213433073372595,0,0
[Li]<-N1=CN(C(Cl)C(C)=O)C(c2cccnc2)C1,1.6205,19.624383256406176,0,0
[Be]=C1N(CC)C=C(c2ccccc2)N1CC,2.6386900000000013,29.563902594302082,0,0
[Li]<-P1(OC)OC=CC(C)(c2ccccc2)O1,3.3356000000000012,22.91898774470794,0,0
[Li]<-n1ccc(C2=CN(C)C(C(C)(C)C)N2)cc1,2.2872000000000003,20.436097405697915,0,0
[Be]=C1N(CC)C=C(c2ccccc2)N1CCO,1.6110900000000001,30.805347763807102,0,0
[Be]=C1NC=C(c2cccnc2)N1CC(C)C,1.93749,29.468406812032466,0,0
[Li]<-P(O)(c1ccccc1)c1cccc(F)c1,2.1657,22.60862645233169,0,0
[Li]<-P1=CCC=C(c2ccc(C)c(C)c2C)C1,4.1473600000000035,20.523635206111727,0,0
[Li]<-N1=CC=CC2N=CNC21c1ccccc1,1.4801,28.115549896546238,0,0
[Li]<-n1ccc(CN(C)C)c(C(=O)OCC)c1,1.3199,20.507719242400125,0,0
[Li]<-S=C(Nc1c(C)cccc1C)NC(C)C,2.998240000000001,23.43625656533503,0,0
[Be]=C1N(CCC(C)C)C=CN1CCC(C)C,3.1636900000000017,30.343784816170622,0,0
[Li]<-S1c2ccccc2Nc2cc(C)ccc21,4.203220000000002,24.208180805347766,0,0
[Li]<-P1(c2ccccc2)OC1c1ccccc1,3.437800000000001,23.579500238739456,0,0
[Li]<-n1cccc(C=C(C)N2CCCC2=O)c1,2.0648,25.958936813624064,0,0
[Li]<-n1ccc(-c2nc3c(C)cccc3o2)cc1,3.198220000000002,20.483845296832722,0,0
[Li]<-Nc1ccc(C)c(-c2ccc(C)cc2)c1,3.552640000000001,22.60862645233169,0,0
[Li]<-n1c(-c2ccc(O)cc2)[nH]c2ccccc21,2.9355,28.07575998726723,0,0
[Li]<-n1csc(-c2nc3ccccc3[nH]2)c1C,2.9948200000000007,23.324844819353814,0,0
[Li]<-n1csc(-c2cccc(C(=O)OC)c2)c1,2.5967000000000002,20.658920897660355,0,0
[Be]=C1N(CC)C=C(c2ccccn2)N1CC,2.03369,28.78402037243355,0,0
[Li]<-n1cccc(C2Cc3ccccc3S2)c1,3.4711000000000025,20.770332643641574,0,0
[Li]<-S=C(N)P(c1ccccc1)c1ccccc1,2.3629000000000007,35.317523476046475,0,0
[Li]<-n1oc(-c2ccc(Br)cc2)c2ccccc21,4.2573000000000025,21.717332484481936,0,0
[Be]=C1Nc2ccc(C(=O)OC)cc2N1OC,1.2627899999999996,26.714945089925195,0,0
[Li]<-P(C)=C(c1ccccc1)c1ccccc1,3.831400000000002,26.094222505172688,0,0
[Li]<-n1cc(COC)cc(-c2cc(C)[nH]c2C)c1,2.8399400000000012,22.640458379754893,0,0
[Li]<-p1c(-c2ccccc2)c(C)n2c1CCC2,3.9898200000000026,24.92439917236989,0,0
[Li]<-n1cc(-c2ccsc2)cc2cc(C)ccc21,4.271720000000002,23.905777494827316,0,0
[Li]<-S(Cc1ccccc1)C1CC2C=CC1C2,3.884400000000003,27.11284418271526,0,0
[Be]=C1NC2(C=C3C=CN=CC3CN2)NC1N,-1.0995099999999995,23.802323730701893,0,0
[Li]<-n1c(C)c(C)cn1C(=O)c1ccccc1,2.18844,27.45503740251472,0,0
[Be]=C1N(C)C=CN1c1ccc([N+](=O)[O-])cc1,1.81409,32.21391055228394,0,0
[Li]<-n1c(-c2ccsc2)[nH]c2ccc(C)cc21,3.599820000000002,27.884768422727998,0,0
[Li]<-n1c(-n2cc(C)nn2)sc2ccccc21,2.1854199999999997,27.86089447716059,0,0
[Li]<-n1ncn(Cc2ccc(OC)cc2)c1C,1.6434199999999999,23.37259271048862,0,0
[Li]<-N(C(=O)c1ccccc1F)=C(C)OCC,2.4208000000000007,29.269457265637435,0,0
[Be]=C1N(C(=C)C)C=CN1c1ccc(F)cc1,2.9487900000000016,32.20595257042814,0,0
[Be]=C1N(CC#N)C=CN1C(C)c1ccccc1,2.3562700000000003,31.179372911029763,0,0
[Li]<-n1nc(-c2ccccc2)n2ccccc21,2.3963,21.32739137354767,0,0
[Li]<-n1ccc(N=Cc2ccc(Cl)cc2)cc1,3.4856000000000016,22.194811395830015,0,0
[Li]<-O=c1c(-c2ccccc2)c1-c1ccsc1,3.3179000000000016,20.523635206111727,0,0
[Li]<-[N-]=[N+]=C(c1ccccc1)c1ccccc1,2.753800000000001,20.89766035333439,0,0
[Li]<-n1cn(C(C)C)c(-c2ccccc2C)n1,2.8344200000000006,19.839248766512814,0,0
[Be]=C1NC(N)=C(NC(=O)c2ccccc2)N1,-0.3092100000000004,24.52650007957982,0,0
[Li]<-n1cn(CC)c2c1c(=O)n(C)c(=O)n2C,-0.5464000000000002,22.099315613560403,0,0
[Li]<-n1ccc(C=Nc2cccc(C)c2)cc1,3.140620000000001,20.59525704281394,0,0
[Be]=C1NC(C(C)(C)C)=C(N)N1C(C)C(=O)O,0.5348899999999998,27.08897023714786,0,0
[Li]<-N1=NNC2(c3ccccn3)C=CC=CC12,1.7418999999999998,22.162979468406814,0,0
[Li]<-n1cnc(C(=O)OCC)c(C(=O)OCC)c1,0.83,20.3485596052841,0,0
[Li]<-P1(c2ccccc2C(F)(F)F)OCCO1,2.689400000000001,22.775744071303514,0,0
[Be]=C1N(CC(=O)OC)C=CN1C(C)C(=O)OC,-0.19401000000000002,30.725767945249082,0,0
[Li]<-n1cc(C)cc(Cc2ccccc2C)c1,3.289240000000002,21.22393760942225,0,0
[Li]<-Nc1cc(C(=O)OC)ccc1C(=O)OC,0.8420000000000001,29.77081012255292,0,0
[Li]<-n1cccc(Cc2cc(C)cc(C)c2)c1,3.2892400000000013,20.563425115390736,0,0
[Li]<-n1ccccc1C(=O)Nc1ccccc1F,2.473,27.86089447716059,0,0
[Li]<-n1cccc(C(=C)c2cccc(C#N)c2)c1,3.014780000000001,20.81012255292058,0,0
[Li]<-n1ccc(-c2ccc(C)c(C)c2C)cc1,3.673860000000002,20.47588731497692,0,0
[Li]<-P(C)(Cc1ccccc1)c1ccccc1,3.623800000000002,24.104727041222347,0,0
[Li]<-N=C(CC)ON=C(Cl)c1ccccc1C,3.299290000000001,22.465382778927268,0,0
[Be]=C1Cc2ccccc2CN1c1ccccc1,3.288090000000002,28.791978354289355,0,0
[Li]<-n1cccc2c(-c3ccccc3)c[nH]c21,3.2299000000000015,22.847365908005727,0,0
[Li]<-n1ccn(C(=COC)c2ccccc2)c1,2.3762000000000008,20.483845296832722,0,0
[Li]<-n1cn(CC(=O)C(C)(C)C)c2ccccc21,2.6515000000000004,23.06223141811237,0,0
[Li]<-P1(c2ccccc2)C2C=CC1(C)C(C)C2,3.530700000000002,24.52650007957982,0,0
[Li]<-n1cc(CC)cc(-c2cc[n+]([O-])cc2)c1,1.9444,20.380391532707307,0,0
[Li]<-n1ccn(C(C)=NNc2ccccc2)c1,2.1767000000000003,18.93999681680726,0,0
[Li]<-P(O)(Cc1ccccc1)c1ccccc1,2.901300000000001,21.75712239376094,0,0
[Li]<-S=C(NC(=O)c1ccsc1)N(CC)CC,2.1046000000000005,29.317205156772243,0,0
[Li]<-n1cc2ccc(F)cc2c2ccccc21,3.5271000000000017,24.144516950501355,0,0
[Li]<-O=c1ccc2cc(C)cc(C(=O)OC)c2o1,1.8880199999999998,21.852618176030557,0,0
[Li]<-n1cccc(C(=O)Nc2ccccc2C)c1,2.6423200000000007,20.39630749641891,0,0
[Li]<-n1ccn(-c2nccc(S(C)(=O)=O)n2)c1C,0.37422,23.667038039153272,0,0
[Li]<-P1(Nc2ccc(C)cc2)OCCC(C)(C)O1,3.8493200000000023,25.40983606557377,0,0
[Be]=C1N(C)C=CN1Cc1ccc(SC)cc1,2.6233900000000006,30.35970077988222,0,0
[Be]=C1NC(SCc2ccccc2)=C(N)N1C,1.53639,27.391373547668312,0,0
[Li]<-n1c(C(=O)OCC)n(C)c2ccccc21,1.75,26.7388190354926,0,0
[Li]<-n1cncc(C=C2SC3=C(SCCS3)S2)c1,3.861600000000002,22.911029762852145,0,0
[Li]<-n1ccn(-c2ccc3ccccc3c2)c1,3.025500000000001,19.226484163616107,0,0
[Be]=C1CN(c2cc(C)c(C)c(C)c2)C(N)N1,1.3025499999999999,22.839407926149928,0,0
[Li]<-N#Cc1cc(C)c(C)c(N=C(C)C#N)c1,2.791100000000001,20.53159318796753,0,0
[Li]<-Nc1ccc(C2CN=C(C(C)C)O2)cc1,2.3946000000000005,25.14722266433233,0,0
[Li]<-N(=Cc1cnc[nH]1)C(C)c1ccccc1,2.589800000000001,24.892567244946687,0,0
[Be]=C1N(C)C=CN1Cn1cnc2ccccc21,1.70869,33.7020531593188,0,0
[Be]=C1N(C)C=CN1CC(=O)c1ccccc1,1.58419,30.2403310520452,0,0
[Li]<-n1ccc(-c2ccccc2)c(C(C)=NO)c1,2.9468000000000014,20.722584752506766,0,0
[Li]<-N1=C(C)N(c2ccc(F)cc2)C(=O)CC1,1.9808000000000001,23.73070189399968,0,0
[Li]<-n1ccc(Cc2ccc(C#N)cc2)cc1,2.54408,20.579341079102342,0,0
[Li]<-n1cc(C)cc(C(=C)c2cccnc2)c1,2.846520000000001,20.690752825083557,0,0
[Li]<-n1cccc(C(S)(S)c2ccccc2F)c1,3.2814000000000023,21.5263409199427,0,0
