Encoded SMILES,log P,G parameter,Denticity,Isomer
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0
[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,0.98479,34.45010345376412,0,0
[Li]<-O=CC(=C)c1ccccc1,1.8987,31.664809804233645,0,0
[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,2.22982,31.55339805825244,0,0
[Li]<-N(=C(C)C)c1ccc(C)cc1,3.1073200000000014,29.41270093904186,0,0
[Be]=C1N(CCl)C=CN1C(C)(C)C,2.06629,34.92758236511221,0,0
[Be]=C(SC=C(C)OC)N(C)C,1.78519,33.40760783065414,0,0
[Be]=C1NC(=O)C=CN1c1cccc(C)c1,1.44121,29.02275982810759,0,0
[Li]<-O=C(C=C)Nc1cccc(C)c1C,2.4279400000000004,29.635524431004296,0,0
[Li]<-S=C(NC)C(=C)C,1.1093,34.36256565335031,0,0
[Li]<-S=C(C)NC(C)OCc1ccccc1,2.4861000000000004,31.45790227598281,0,0
[Be]=C1CC=CCOC1,1.04419,29.93792774152475,0,0
[Li]<-n1c(C(=C)C)cc(C)n1C,1.76162,33.85325481457902,0,0
[Be]=C1N(C)C=CN1Cc1cccnc1,1.29649,30.97246538277893,0,0
[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,2.04059,30.45519656215184,0,0
[Li]<-N(=C(C)C(F)(F)F)C(C)C,2.418000000000001,35.365271367181286,0,0
[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,2.30239,32.23778449785135,0,0
[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,1.55123,31.02021327391374,0,0
[Li]<-N#CCl,0.70628,19.672131147540984,0,0
[Li]<-n1cc(N)co1,0.2568000000000001,19.05936654464428,0,0
[Li]<-NCc1ccccc1OC,1.1539,18.693299379277416,0,0
[Li]<-N1=CN(C(C)C)CC1,0.7386999999999999,19.36972783702053,0,0
[Li]<-n1cc(C)n(CC)c1,1.21142,19.218526181760307,0,0
[Li]<-n1cc(-c2ccc(Br)cc2)co1,3.1041000000000016,19.146904345058093,0,0
[Li]<-O=Cc1c(OC)cccc1OC,1.5162999999999998,19.29810600031832,0,0
[Li]<-n1ccn(-c2cccc(OC)c2)c1,1.8809,19.70396307496419,0,0
[Li]<-n1cnn(C(C)c2ccccc2)c1,1.8874,19.019576635365272,0,0
[Li]<-n1ccn(Cc2ccncc2)c1,1.3263999999999998,19.40155976444374,0,0
[Li]<-N=Cc1ccccc1OC,1.69287,19.00366067165367,0,0
[Li]<-n1cc2cccc(Br)c2[nH]1,2.3253999999999992,19.60050931083877,0,0
[Li]<-N=Cc1ccsc1,1.7457699999999998,18.5818876332962,0,0
[Li]<-n1ccn(-c2cccc(C=C)c2)c1,2.5153,19.36972783702053,0,0
[Li]<-N=Cc1ccccc1OCC,2.08297,19.807416839089605,0,0
[Li]<-n1cnn(CC(C)(C)C)c1,1.3241999999999998,18.963870762374665,0,0
[Li]<-NCc1ccc(F)c(F)c1,1.4235,17.650803756167434,0,0
[Li]<-n1ccn(C2CCCCC2)n1,1.7833,19.09119847206748,0,0
[Li]<-n1cnn(-c2ccc(C(C)C)nn2)c1,1.1807,18.892248925672448,0,0
[Li]<-N=CC(C)C,1.29197,18.621677542575203,0,0
[Li]<-S=C1SC(=C)C=C(SCC)S1,3.8595000000000015,21.61387872035652,0,0
[Li]<-P1(C(C)(C)C)OC1c1cccc(C)c1,4.219220000000004,23.778449785134487,0,0
[Li]<-P(Cl)(C(=Cc1ccccc1)OC(C)=O)C(C)C,4.592200000000004,24.86073531752348,0,0
[Li]<-N=P(C)(C(C)C)C(C)(C)C,3.6030700000000015,27.10488620085946,0,0
[Li]<-n1oc(Nc2ccccc2I)cc1C,3.331220000000001,25.51328982969919,0,0
[Li]<-p1c(-c2ccccc2)c(C)n2c1CCC2,3.9898200000000026,24.92439917236989,0,0
[Li]<-S=c1n(C)c2ccccc2n1C(C)C,3.2901900000000017,25.6087856119688,0,0
[Be]=C1CN(c2cc(C)ccc2C)C(C)(C)C1(C)C,4.009530000000003,27.677860894477167,0,0
[Li]<-p1(C)c(C)c(C)c2ccccc21,3.980240000000002,23.213433073372595,0,0
[Li]<-S(CCC)CCc1ccccc1,3.372300000000002,27.3197517109661,0,0
[Li]<-P(CC(C)C)CC(C)(C)C,3.3670000000000027,24.733407607830653,0,0
[Li]<-N(=Cc1cccs1)c1ccccc1I,4.103300000000002,23.01448352697756,0,0
[Li]<-n1cn(-c2cccc3ccccc23)cc1C,3.3339200000000018,22.481298742638867,0,0
[Li]<-P1(c2ccccc2)CC(C)(C)CC(C)(C)C1,4.249900000000004,25.354130192583167,0,0
[Li]<-P1(Nc2ccc(F)cc2)OCC(C)(C)CO1,3.5375000000000014,24.741365589686456,0,0
[Li]<-N(c1ccccc1)c1ccccc1,3.430200000000001,25.306382301448355,0,0
[Li]<-N=C1C=CC(=S2C=CSC2=C(C)C)C=C1,4.042870000000002,21.351265319115072,0,0
[Li]<-P1(Cc2ccccc2)C(C)C1c1ccccc1,4.811900000000004,23.58745822059525,0,0
[Li]<-S=P(C)(C)c1ccc(-c2ccccc2)cc1,3.7180000000000017,27.367499602100903,0,0
[Li]<-P(c1ccccc1)(c1ccccc1)C(C)C=C,3.693800000000002,25.41779404742957,0,0
[Li]<-S=C1NC=CC(O)N1,-0.7038,23.102021327391377,0,0
[Li]<-n1cc2c(c(C)c1NC)c(=O)[nH]c(=O)n2C,-0.0280800000000002,23.92965144039472,0,0
[Be]=C1NC=C(N)N1CN(C)C,-0.8354099999999989,26.50007957981856,0,0
[Li]<-n1c(N)ccnc1N,-0.3590000000000001,26.396625815693145,0,0
[Li]<-N=c1[nH]c(OC)cc(=O)[nH]1,-0.8089300000000001,20.555467133534936,0,0
[Be]=C1NC(N)(C(C)=O)NC1(N)C=C,-1.7395099999999994,26.45233168868375,0,0
[Li]<-S=C(NN)N1CCOCC1,-0.9331999999999998,24.996021009072106,0,0
[Li]<-n1cn(CC)c2c(=O)n(C)cnc21,0.1498999999999997,20.563425115390736,0,0
[Be]=C=NCN,-0.6428,24.621995861849435,0,0
[Li]<-n1cnc(C(N)=O)c(N)c1,-0.8423000000000005,20.3485596052841,0,0
[Li]<-n1cccn1C(C)C(N)=O,-0.0706000000000003,25.624701575680408,0,0
[Li]<-n1nc(N)n(S)c1C,-0.1383800000000001,21.74916441190514,0,0
[Li]<-NC1(C(=O)OC)CC1,-0.3493000000000001,21.88445010345377,0,0
[Li]<-S=C(N)Nc1ccncn1,0.1321,20.9294922807576,0,0
[Be]=C(NC)N(C)C(C)N(C)C,0.0414899999999998,28.847684227279963,0,0
[Li]<-O=C(CO)CN1CCCC1,-0.3564000000000002,26.436415724972147,0,0
[Li]<-N1=CC(C(=O)OCC)CC1NC(C)=O,0.1023999999999996,24.797071462677067,0,0
[Li]<-N1CC2CNC=CC21,-0.3087000000000001,22.62454241604329,0,0
[Li]<-NC(C)C(C)=O,-0.0774,22.72003819831291,0,0
[Li]<-n1ccc(-c2[nH]cnc2N)c(C(O)O)c1,0.0371,20.714626770650963,0,0
[Li]<-S=C(NC(=O)OCC)c1ccccc1,2.1082,24.621995861849435,0,0
[Li]<-P1(CC(=O)OC)Oc2ccccc2O1,1.9427,24.494668152156617,0,0
[Li]<-N#CC=Nc1cccc([N+](=O)[O-])c1,1.82068,23.738659875855483,0,0
[Li]<-NC(CCl)c1ccccc1,1.9252,24.35142447875219,0,0
[Be]=C(C)Nc1ccccc1OC,2.1657900000000003,24.820945408244462,0,0
[Li]<-n1cccc(C)c1N=CC,2.11222,24.900525226802483,0,0
[Li]<-n1cccc2nc(C)ccc21,1.93822,23.76253382142289,0,0
[Li]<-P(N(C)C)[Si](C)(C)C,1.9764,24.70953366226325,0,0
[Li]<-N(O)=C(C)C=C(C)C,1.8027,23.98535731338532,0,0
[Li]<-n1cnc(C(C)=O)c2ccccc21,1.8324,23.858029603692504,0,0
[Li]<-N1CCCC1Cc1ccccc1,1.9811,24.240012732770968,0,0
[Be]=C1NC(C(C)(C)C)=C(NC(C)(C)C)N1C,2.12099,24.92439917236989,0,0
[Li]<-n1nc(-c2ccccc2)cn1CC,1.965,24.05697915008753,0,0
[Li]<-N1CCC(c2ccccc2)CC1,2.1536,23.69886996657648,0,0
[Li]<-S=C1NC(C)NC=C1c1ccccc1,1.8937,24.26388667833837,0,0
[Li]<-n1ccnc2cc(C)ccc21,1.93822,23.722743912143883,0,0
[Li]<-n1ccc(I)cc1C,1.99462,24.12860098678975,0,0
[Li]<-S=C(Cc1ccccc1)N(C)C,2.1181,24.240012732770968,0,0
[Li]<-S=c1scc(N)s1,2.12129,24.11268502307815,0,0
[Li]<-n1ccc(C)c2ncccc21,1.93822,23.778449785134487,0,0
[Li]<-NCC(C)Nc1ccccc1OC,1.4543,24.009231258952727,0,0
[Li]<-n1c2n(c3cncnc31)C(C)(C)C=CC2,1.6737,24.4071303517428,0,0
[Li]<-n1ccc(N)c2cc(C(=O)O)ccc21,1.5152,23.889861531115702,0,0
[Be]=C(C)OCC(F)(F)F,1.62399,24.144516950501355,0,0
[Be]=C(C#N)NC1CCCCC1,1.47107,23.913735476683115,0,0
[Li]<-N1=CC=CC(c2ccccc2)C1N,1.6956,24.025147222664334,0,0
[Li]<-N(C)=C(O)c1ccccc1,1.621,23.88190354925991,0,0
[Li]<-N(C)=C1CCCC1,1.6312,23.794365748846094,0,0
[Li]<-O=c1cc1-c1ccccc1,1.5894,23.722743912143883,0,0
[Li]<-P1(c2ccccc2)C=NC(N(C)C)C1,1.7234,23.8500716218367,0,0
[Li]<-n1cccc2cnccc21,1.6298,23.89781951297151,0,0
[Li]<-N(O)=C1C2CC(C)(C)C1C(=O)C2C,1.6977,24.52650007957982,0,0
[Li]<-O=Cc1cccs1,1.5606,24.144516950501355,0,0
[Be]=C=Nc1ccccc1,1.7727,24.82890339010027,0,0
[Li]<-n1ccc(N(C)C)cc1C,1.45602,24.26388667833837,0,0
[Li]<-n1cccn1C(C)C,1.464,24.574247970714627,0,0
[Li]<-n1cn(CC)c(=O)c2ccccc21,1.4164,23.810281712557696,0,0
[Li]<-S=C(OCC)C1CC1,1.7603,24.367340442463792,0,0
[Li]<-n1cn(CCc2ccccc2)c2c1CNCN2,1.5983999999999998,24.86869329937928,0,0
[Be]=C1Oc2cccc(OC)c2N1C,1.5200899999999995,24.972147063504696,0,0
[Be]=C(N)Nc1ccc(C)cc1C,1.67033,23.61133216616265,0,0
[Li]<-n1nc(Cc2ccccc2)sc1N,1.7110999999999998,22.847365908005727,0,0
[Li]<-NC(C)c1cncc(Cl)c1,1.7547,22.926945726563744,0,0
[Li]<-S=c1[nH]c(N)c2ccccn12,1.5790899999999997,22.409676905936653,0,0
[Li]<-n1ccn(CCSN2CCCC2)c1,1.6271,22.78370205315932,0,0
[Li]<-S=C(C)NCc1ccoc1,1.7165,22.600668470475885,0,0
[Li]<-NC(C)C(C)C(=C)C,1.5458,23.667038039153272,0,0
[Li]<-n1cc(C(Cl)Cl)cnc1N,1.5349999999999997,23.356676746777016,0,0
[Li]<-n1cpcn1C=C,1.5637,23.2532229826516,0,0
[Li]<-S=c1[nH]ccn1CC,1.5655899999999998,23.340760783065413,0,0
[Li]<-Nc1ccc(C=O)cc1I,1.6859000000000002,23.078147381823968,0,0
[Li]<-S=C(NN=C(C)OC)C(=C)C,1.4593,23.36463472863282,0,0
[Li]<-n1ccn(CC(=O)c2ccc(F)cc2)c1N,1.4873,23.08610536367977,0,0
[Li]<-S1c2ccccc2CC1N,1.6196000000000002,23.61929014801846,0,0
[Be]=C1C=CC(c2cccc(F)c2)=C(N)N1,1.65119,23.08610536367977,0,0
[Li]<-P(C)(O)c1cccs1,1.3924,22.926945726563744,0,0
[Li]<-S1CCC(C)C1,1.7594,23.102021327391377,0,0
[Li]<-S=C1NCCCN1[Si](C)(C)C,1.4014999999999995,23.12589527295877,0,0
[Li]<-Nc1ccc2c(=O)ccoc2c1C,1.68362,22.863281871717337,0,0
[Li]<-N(=CC(C)(C)C)CC,2.1232,23.18955912780519,0,0
[Li]<-n1ccc(C)c2[nH]c(C)cc21,2.17974,22.759828107591915,0,0
[Li]<-n1nc(-c2ccc(C)cc2)sc1N,2.09572,22.73595416202451,0,0
[Li]<-NC(C)C(C)c1ccccc1,2.1373,23.61929014801846,0,0
[Li]<-N(O)=CC=Cc1ccccc1,2.1598,23.412382619767627,0,0
[Li]<-n1csc2cc(C(=O)O)ccc21,1.9945,22.61658443418749,0,0
[Li]<-n1oc(-c2[nH]nc(C)c2C)cc1C,1.98996,23.65908005729748,0,0
[Li]<-N=C(CC)ON(C)C(C)(C)C,2.03557,22.871239853573133,0,0
[Li]<-N1=CSC(n2nccc2Cl)C1,1.8102,22.62454241604329,0,0
[Li]<-S=c1c(C)c1C,1.90853,23.33280280120961,0,0
[Li]<-S=C1CNCN1c1ccc(C)c(C)c1,1.99794,22.6802482890339,0,0
[Li]<-P(C)(O)c1ccccc1[Si](C)(C)C,1.8761,23.102021327391377,0,0
[Li]<-S1CCN(CC)CC1(C)C,1.8337,23.01448352697756,0,0
[Li]<-S1CC(N)c2ccccc21,1.7921,23.30892885564221,0,0
[Li]<-N1=COCC1c1ccccc1OC,1.7948,22.96673563584275,0,0
[Li]<-n1ccc(C#N)c2c(Cl)ccnc21,2.1548800000000004,22.648416361610696,0,0
[Li]<-N(=CNC(C)C)c1ccccc1O,2.0500000000000003,22.926945726563744,0,0
[Li]<-N(=Cc1ccccc1)CC,2.1254,23.571542256883653,0,0
[Li]<-n1csc(-c2ccoc2)c1N,1.9853,22.759828107591915,0,0
[Li]<-n1csc(-c2ccco2)c1N,1.9853,22.409676905936653,0,0
