Encoded SMILES,log P
[Li]<-n1ccc(C2CCc3ccccc3N2)cc1,3.181000000000001
[Li]<-n1cccc(-c2nc3ccccc3n2C)c1,2.635300000000001
[Li]<-n1ccc(NN=Cc2ccnc(C)c2)cc1,2.23102
[Li]<-n1ccn(C(C)=Nc2ccc(Cl)cc2)c1,3.1347000000000014
[Li]<-N1=COC(Nc2ccc(C)c(C)c2)C1C,2.4884400000000007
[Li]<-P12CC[Si](c3cccc(C)c3)(CC1)CC2,3.1599200000000014
[Be]=C1NC(N)=CN1c1c(C)ccc(C)c1C,1.7753499999999998
[Li]<-n1cccc(B2Oc3cccc(C)c3O2)c1,1.5566199999999997
[Li]<-n1ccc(-c2[nH]cnc2N)c(C(O)O)c1,0.0371
[Li]<-n1nnn(-c2ccc(C(=O)O)cc2)c1C,0.66892
[Li]<-n1ccc(C(=O)OCC)c(COCC)c1,1.7948
[Li]<-n1cn(-c2cccc3ccccc23)cc1C,3.3339200000000018
[Li]<-O=Cc1ccc2ccccc2c1N(C)C,2.718300000000001
[Be]=C1N(CC)C=CN1Cc1ccccc1F,2.43069
[Be]=C1N(C)C(C)=C(N)N1Cc1ccccc1,1.5779900000000002
[Be]=C1NC=CN1CS(=O)(=O)c1ccccc1,0.7904900000000001
[Li]<-N=c1[nH]c(N)cn1Cc1ccc(Cl)cc1,1.57957
[Li]<-N1=CN(C(C)C)C2c3ccccc3CC2C1,2.652300000000001
[Li]<-n1ccc(C=Nc2cccc(F)c2)cc1,2.971300000000001
[Li]<-n1ccc(CO)c(-c2cccc(C)c2)c1,2.5493200000000007
[Li]<-n1ccc(-c2scc3ccccc23)cc1,3.963300000000001
[Li]<-n1ccc(C(C)=NNC(=S)N(C)C)cc1,1.2417
[Li]<-n1ccc(-c2nc3cc(Cl)ccc3o2)cc1,3.543200000000001
[Li]<-n1c(-c2ccccc2)c(C)c2n1CCC2,2.8047200000000005
[Li]<-n1ccc(N=Cc2cccc(Cl)c2)cc1,3.4856000000000025
[Li]<-n1cccc(-c2cccc(C(C)=O)c2)c1,2.951200000000001
[Li]<-n1cc(C)c(OC)c(-c2ncccc2C)c1,2.7690400000000013
[Li]<-N#CC=C(c1ccccc1)N(CC)CC,2.8928800000000017
[Be]=C1N(C)C=CN1Cc1c(F)cccc1Cl,2.693990000000001
[Be]=C1N(C)C(C#N)=C(C#N)N1CC(C)(C)C,1.5349499999999998
[Be]=C1N(CCO)C=CN1C(C)c1ccccc1,1.82499
[Li]<-P(Cl)(c1ccccc1)C(F)(F)C(F)(F)F,4.102700000000001
