Encoded SMILES,log P,G parameter,Denticity,Isomer
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2
ON1->[Ir]<-n2ccccc2C12CC=CC=N2,1.2439000000000002,41.74757281553398,1,2
CC(C)=NC1=N->[Ir]<-N=C1,1.09404,37.65717014165208,1,1
c1cncc(-c2ccnn3->[Ir]<-n4ccccc4-c23)c1,2.6006,35.41301925831609,1,1
c1coc(-c2ccn3->[Ir]<-n4ccccc4-c3c2)c1,3.403600000000002,34.2431959255133,1,2
O=C(O)c1ccc(CN2->[Ir]<-n3ccccc3C=2)cn1,1.7938999999999998,37.474136558968645,1,2
Nc1[nH]cc2n1->[Ir]<-N(c1cccc3ccccc13)=N2,3.560500000000001,37.94365748846093,1,2
O=C1C=N(N=Cc2ccccc2O)->[Ir]<-n2ccccc21,2.0748,42.65478274709534,1,2
C=C1C=N->[Ir]<-N=C1,0.8417399999999999,35.93824606079899,1,2
Cc1cccc(-n23->[Ir]<-n4ccccc4-c2ccn3)c1C,3.551140000000002,43.80073213433073,1,2
Cc1cccn2->[Ir]<-N(Cc3ccccc3)=Nc12,3.6739200000000025,37.52984243195925,1,2
OC1C=O->[Ir]<-O=P1(c1ccccc1)c1ccccc1,1.5177999999999998,44.09517746299538,1,1
FC(F)(F)c1cnn(-c2ccccc2N2->[Ir]<-Nc3ccncc32)c1,3.611900000000001,46.84068120324686,1,1
CN1(C)->[Ir]<-N=C(c2ccccc2)O1,1.50517,35.317523476046475,1,1
Nc1nnn2(->[Ir]<-Nc3ccncc3-2)n1,-0.7783000000000009,37.99140537959573,1,1
CCN1CCSCC12C=N->[Ir]<-N=C2,1.09304,42.94922807575999,1,1
CC1(C)C2(CCCCC2)N->[Ir]<-[N+]1(=O)[O-],1.7033,44.11109342670699,1,1
O=CCN1->[Ir]<-n2ccccc2C=1c1ccccc1,2.1179,40.092312589527296,1,2
CCOP1(OCC)=O->[Ir]<-N=C2C=CN=CC21Cl,2.805470000000001,40.20372433550852,1,1
CC(F)(F)S1->[Ir]<-S(C(F)(F)F)c2ccccc21,5.003300000000001,43.601782587935695,1,2
CC(OC(F)(F)F)S1->[Ir]<-S(C)c2ccccc21,4.383000000000002,41.95448034378482,1,1
c1ccc(S2->[Ir]<-Nc3ncccc32)cc1,2.8150000000000013,37.1637752665924,1,1
CN1(C)->[Ir]<-S(CC#N)CC1,0.8047799999999999,41.66799299697597,1,2
CC(C)=N1->[Ir]<-N(C(C)C)CC1,1.4652,59.2312589527296,1,1
N#CC1CCCCS2->[Ir]<-S(C=C2)CC(C#N)C1,3.777560000000003,50.787840203724336,1,1
CCN1C=CN2Nc3ccccc3S(C)->[Ir]<-[Be]=C12,2.840390000000001,46.94413496737228,1,2
C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,3.191300000000002,44.278211045678816,1,1
c1ccc(S2->[Ir]<-Nc3cccnc32)cc1,2.8150000000000013,38.26993474454879,1,2
CS1->[Ir]<-S(c2ccccc2)c2ncccc21,3.9547000000000025,41.81123667038039,1,2
CCCS1->[Ir]<-S(CC=O)c2ncccc21,2.8747000000000016,45.53557217889544,1,1
CN1(C)->[Ir]<-S=CN1,0.0098,38.83495145631069,1,1
c1ccc(S2->[Ir]<-NC3CNCC32)cc1,1.0778,39.91723698869967,1,1
c1ccc(S2->[Ir]<-Nc3cccnc32)cc1,2.8150000000000013,36.781792137513925,1,1
c1cc2c(cn1)O->[Ir]<-N2,0.3694,31.09979309247175,1,1
c1cncc(CS2->[Ir]<-Nc3cccnc32)c1,2.3511000000000006,35.79500238739456,1,2
O=CS1->[Ir]<-SCC1(S)C(=O)n1cnc2cccc(Br)c21,2.9183000000000003,52.95241126850231,1,1
CNC(=O)CS1->[Ir]<-SCC1(S)C=O,0.2203999999999999,42.63090880152793,1,1
NC1CC(O)[SeH]->[Ir]<-[Se]1c1ccccc1,-1.0897999999999997,41.047270412223455,1,1
N#CC1COCCS2->[Ir]<-S(C=C2)CC(C#N)O1,1.7551599999999998,51.88604169982493,1,1
Cc1scc(C2C(C)N->[Ir]<-N2O)c1C,1.7320399999999998,37.15581728473659,1,2
CCCN12->[Ir]<-N(CC1)CC2(N)CO,-1.051099999999998,42.55132898296993,1,2
C=C(C)CN1->[Ir]<-NCC12CCNC2,-0.157099999999999,37.64921215979628,1,1
FC1(F)C2CC3CN(->[Ir]<-N1C3)C2,0.4080999999999997,40.633455355721786,1,1
CC(C)C12N=CN(C)C1P->[Ir]<-P2,1.3886999999999996,39.67849753302563,1,1
Cc1ccc([S+]2([O-])->[Ir]<-[SH2+]C=C2)cc1,1.58532,38.06302721629795,1,2
ON1->[Ir]<-N(O)CC1,-1.056,37.7924558332007,1,2
CC(=O)NCCN1->[Ir]<-NC2CCNC21,-1.6411999999999969,41.2780518860417,1,2
CN1(C)->[Ir]<-n2cccn2CC1,0.4446999999999999,40.37084195448035,1,1
C1CCN2(->[Ir]<-NC23CCNC3)C1,-0.2695000000000001,35.20611173006525,1,1
CC1C(c2c(F)c(F)cc(F)c2F)N(O)->[Ir]<-N1O,1.6302,38.14260703485596,1,1
CON1->[Ir]<-N(C)(C)CC1C,0.0874999999999999,44.1827152634092,1,2
Cc1cccc(N2->[Ir]<-OC(C)C2C)c1C,2.4846400000000006,38.22218685341397,1,1
CC1CC2N->[Ir]<-NC1C2(C)C,0.707,39.49546395034219,1,1
CCN1->[Ir]<-NC(C)C(C)(N)C1,-0.3394999999999989,40.47429571860576,1,2
CN1->[Ir]<-NC2(C)CCCCC12,0.8657999999999999,36.885245901639344,1,2
CN1(C)->[Ir]<-N(C)(CC(F)Cl)CC1,1.0142,41.56453923285056,1,2
CCN12->[Ir]<-N(CC)(CC1)CC2,0.6437999999999997,38.44501034537642,1,1
CCN12->[Ir]<-N(CC1)C(C)(N)C2,-0.4135999999999988,39.66258156931402,1,1
COC(=O)C1CC[Se](C(C)C)->[Ir]<-N1,0.8275999999999997,49.05300015915964,1,1
Cc1ccccc1N1->[Ir]<-O=C2C=CC3(C=CC=CC3)C=12,3.708920000000002,38.50867420022283,1,2
OC1CCN(C2=S->[Ir]<-S=C2)C1,0.3801000000000001,36.69425433710011,1,1
c1ccc(N2CCN3->[Ir]<-n4c([nH]c5ccccc54)C=32)cc1,2.8297000000000008,35.086742002228235,1,2
C1=S->[Ir]<-S=C1NCc1ccccc1,2.1033,36.6385484641095,1,1
Oc1ccncc1C1=O->[Ir]<-n2ccccc21,1.4132,33.996498487983445,1,1
OC1c2ccccc2CN1C1=O->[Ir]<-n2ccccc21,1.7285,34.171574088811084,1,2
CCN1CC2=S->[Ir]<-S=C2NCC1(C)N,0.2837000000000002,36.6385484641095,1,1
Brc1ccc(N2CCN3->[Ir]<-n4ccccc4C=32)cc1,3.110900000000001,34.672926945726566,1,1
SC1=[Be]->[Ir]<-SC2NC=CC=C12,1.25419,48.2412860098679,1,1
