Encoded SMILES,log P,G parameter,Denticity,Isomer
[Li]<-N1=CN(C(C)C)C2c3ccccc3CC2C1,2.2715000000000005,21.04886200859462,0,0
[Li]<-n1cc(-c2ccccc2)n(CC(C)(C)C)c1,3.2154000000000016,19.50501352856915,0,0
[Be]=[C]1CC(COC)C(c2ccc(OC)cc2)O1,1.7175999999999998,27.017348400445645,0,0
[Li]<-P1(N2CCCCC2)C(C(C)=O)C1C(C)=O,1.4172,27.08101225529206,0,0
[Li]<-P(C)=C(c1ccccc1)c1ccccc1,3.4506000000000023,26.094222505172688,0,0
[Li]<-n1ccn(C(=COC)c2ccccc2)c1,1.9953999999999998,20.483845296832722,0,0
[Li]<-N=c1[nH]cc(N)n1-c1ccccc1C#N,0.35794999999999944,23.746617857711286,0,0
[Be]=[C]1NCN(c2ccccc2Cl)C1(N)C=C,0.8464999999999999,28.52936495304791,0,0
[Li]<-O=C(O)C1CC(C)(C)Nc2ccccc21,2.0682,20.06207225847525,0,0
[Li]<-N=c1[nH]c(C)c(C)n1Cc1ccccc1,1.5800099999999997,21.255769536845456,0,0
[Li]<-O=C(c1ccc(C)cc1)N(C)C,1.31602,23.038357472544963,0,0
[Li]<-O=C(N)c1ccccc1N(C)C,0.4706999999999999,22.815533980582526,0,0
[Be]=[C]1C(N)OCC1(C)c1ccoc1,0.19319999999999982,28.290625497373867,0,0
[Be]=[C]1N2C=CC=CC2=CN1C(C)C,1.1932,30.081171414929173,0,0
[Li]<-N#Cc1sccc1-n1cccc1,2.02968,22.186853413974216,0,0
[Li]<-S=c1n(C)ccn1CC(C)(C)N,0.9125899999999998,24.868693299379274,0,0
[Li]<-[O-][n+]1cc(C)cc2ccccc21,1.2485199999999999,20.770332643641574,0,0
[Li]<-N(CC(=O)OCC)CC(F)(F)F,0.32059999999999955,21.208021645710648,0,0
[Li]<-O=C(OC)c1ncn2c1CCC2,0.23509999999999986,27.876810440872198,0,0
[Li]<-O=C(C)Oc1c(C)cccc1C,1.84794,22.879197835428936,0,0
[Li]<-O=C(C)N1Cc2ccccc2C1,1.1679000000000002,25.25067642845774,0,0
[Li]<-N(C=C(C)C)c1cccc(F)c1,2.780500000000001,25.09947477319752,0,0
[Li]<-P(Cl)(C(=O)OC)c1ccccc1,2.3331999999999997,22.839407926149928,0,0
[Li]<-S=C(NN=C(C)c1sccc1C)N(C)C,1.83582,25.648575521247814,0,0
[Li]<-P1=CCC(c2cc(C)c(C)c(C)c2)=CC1,3.766560000000003,20.030240331052045,0,0
[Be]=[C]1OC(C)(c2c(Cl)cccc2Cl)NC1N,1.3691,27.279961801687094,0,0
[Be]=[C]1N(CCCC)C=CN1CCNC(C)=O,0.2672999999999995,31.537482094540824,0,0
[Li]<-N=c1n(C)ccn1-c1ccccc1C#N,0.7861499999999995,25.04376890020691,0,0
[Li]<-O=C(C)Nc1ccccc1OC,1.2728,22.162979468406814,0,0
[Li]<-O=C1C2CCC(C)(C2)C1(C)C,2.0209,27.096928219003665,0,0
[Li]<-[C]Nc1ccc([N+](=O)[O-])cc1C,1.4799099999999998,30.90880152793252,0,0
[Be]=[C]1N(C)C(C)=C(C#N)N1CC,0.26468,30.128919306063985,0,0
[Li]<-N#Cc1sccc1C(F)(F)F,2.2577800000000003,20.650962915804552,0,0
[Li]<-[Se]1CCC(c2ccccc2)[Se]1,1.4923,22.95877765398695,0,0
[Be]=[C]1N(C)C(C#N)=C2C=CC=CN12,0.3083800000000001,27.42320547509152,0,0
[Li]<-Nc1ccccc1-c1ccoc1,2.1480000000000006,26.531911507241766,0,0
[Li]<-n1cnn2c(=O)c(O)c(C)[nH]c21,-0.9491799999999997,21.12844182715263,0,0
[Li]<-N(N)c1cccc(CC(=O)O)c1,0.21849999999999942,22.807575998726723,0,0
[Be]=[C](NC(C)(C)C)c1ccccc1,1.7211999999999998,24.66178577112844,0,0
[Li]<-n1ccn(C(C)C(C)=NC)c1,1.1539999999999997,19.298106000318317,0,0
[Be]=[C]1Nc2ccc(C)cc2N1C,1.1126199999999997,24.9880630272163,0,0
[Li]<-N#Cc1ccc(N(C)C)cc1,1.24348,19.735795002387395,0,0
[Li]<-O=C(C)Nc1ccccc1F,1.4033,31.47381823969441,0,0
[Li]<-Nc1c(C)cccc1C(N)=O,0.29532000000000014,26.253382142288718,0,0
[Li]<-P(C#C)(CCI)c1ccccc1,2.4387000000000008,24.303676587617385,0,0
[Li]<-N#Cc1ccccc1N(C)C,1.24348,21.709374502626133,0,0
[Li]<-P1=CCC=C(c2ccccc2)C1,2.8413000000000004,19.64029922011778,0,0
[Li]<-N=c1[nH]c(N)c(-c2ccsc2)[nH]1,0.75217,20.889702371478595,0,0
[Li]<-O=C(Cl)CNc1ccc(Cl)cc1,2.1365,22.839407926149928,0,0
[Li]<-O=C(CC)OCC,0.5786999999999999,20.292853732293487,0,0
[Be]=[C]1C=C(C)C=CN1,0.3479999999999999,23.22139105522839,0,0
[Li]<-n1cnn(C=C)c1,-0.0022000000000000908,18.924080853095656,0,0
[Be]=[C]1C(=O)C(N)OC1C,-1.4001000000000001,30.8133057456629,0,0
[Li]<-N#CN(CC)CC,0.42847999999999997,19.65621518382938,0,0
[Li]<-O=C(CC=C)N(C)C,0.26990000000000003,23.460130510902438,0,0
[Li]<-N(C(C)O)C(C)O,-1.1282,26.92185261817603,0,0
[Li]<-P1=CC1(C)C(C)(C)C,2.1723999999999997,19.815374820945408,0,0
[Li]<-N1NC12CCCCC2,0.37379999999999924,21.987903867579178,0,0
[Li]<-S=c1scc(N)n1C,1.01749,24.725449625974854,0,0
[Li]<-N#Cc1cccs1,1.23898,19.775584911666403,0,0
[Li]<-S=c1scc(C)n1C,1.74371,24.07289511379914,0,0
[Li]<-NC(C)(C)C[N+](=O)[O-],-0.38039999999999985,31.991087060321505,0,0
[Li]<-O=c1ccc(C)c[nH]1,0.30251999999999996,21.04090402673882,0,0
[Li]<-S=C(C)NC(C)=O,0.08900000000000002,24.88460926309088,0,0
[Li]<-n1ccn(C)c1N,-0.3785,21.597962756644915,0,0
[Li]<-O=C1C=CC(N2C=CC=CC2)=CC1,1.404,21.29555944612446,0,0
[Li]<-N1C=C(c2ccncc2)N(C(C)C)C1,1.2703,25.155180646188125,0,0
[Li]<-NCC1OCC(=O)c2ccccc21,0.5184999999999993,21.590004774789115,0,0
[Be]=[C]1Nc2ccccc2N1COCC,1.1683999999999999,26.420499761260547,0,0
[Li]<-n1cn(CC)c2c(=O)[nH]c(N)nc21,-0.6591,19.87903867579182,0,0
[Li]<-P1=CCC(c2ccc(C)cc2)=CC1,3.149720000000001,19.290148018462517,0,0
[Li]<-n1ccn(Cc2ccccc2Cl)c1,2.2039999999999997,19.258316091039312,0,0
[Li]<-n1ccc(C#N)c2c(Cl)ccnc21,1.7740799999999997,22.648416361610696,0,0
[Li]<-n1ccn(-c2c(F)cccc2F)c1,1.7696999999999998,19.226484163616107,0,0
[Li]<-N#Cc1cccc(C=CC(=O)O)c1,1.27528,19.735795002387395,0,0
[Li]<-n1ccn(Cc2cccc(C)c2)c1,1.85902,19.79945885723381,0,0
[Be]=[C]1NC(N)=CN1C(C)c1ccc(C=C)cc1,1.3093000000000004,28.791978354289355,0,0
[Li]<-n1ccn(Cc2cccc(C(F)(F)F)c2)c1,2.569400000000001,21.470635046952097,0,0
[Li]<-n1cc(C)n(Cc2cc(C)c(C)c(C)c2)c1,2.7842800000000008,20.06207225847525,0,0
[Li]<-n1ccn(-c2ccccc2[N+](=O)[O-])c1,1.3996999999999997,20.658920897660355,0,0
[Li]<-n1cc(-c2ccccc2)c(C)n1C(C)O,1.9885199999999998,26.858188763329622,0,0
[Li]<-n1cc(Cl)n(Cc2cccc(O)c2)c1,1.9095999999999997,19.099156453923285,0,0
[Be]=[C]1N(C)C=CN1C(C)(O)O,-1.3807999999999998,32.054750915167915,0,0
[Li]<-N=c1[nH]c(OC)cc(=O)[nH]1,-1.1897300000000008,20.89766035333439,0,0
[Li]<-N#CC=C(C#N)C(C)(C)C,1.62526,20.539551169823334,0,0
[Li]<-N#Cc1ccc(C#N)cc1,1.04916,19.783542893522203,0,0
[Li]<-O=C(O)C1CCC(N)NC1,-1.0253999999999992,21.566130829221706,0,0
[Li]<-n1ncn(C(C)(C)C)c1N,0.23449999999999982,21.99586184943498,0,0
[Be]=[C](C#N)NC1CCCCC1,0.7306799999999996,23.913735476683115,0,0
[Be]=[C]1NCC2CCCCCN12,0.09009999999999962,25.465541938564375,0,0
[Li]<-n1ccn(-c2c(C)ncnc2C)c1,0.8983399999999997,19.56867738341557,0,0
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.2020999999999997,22.775744071303514,0,0
[Li]<-N=c1[nH]c(C)c(CC2CCCC2)s1,2.2159899999999997,21.908324049021168,0,0
[Li]<-O=C(OC)c1ccccc1OC,1.101,26.945726563743435,0,0
[Li]<-n1cn(C(C)C)c2ccc(I)cc21,2.841000000000001,21.590004774789115,0,0
[Li]<-O=C(C)Nc1ccccc1[N+](=O)[O-],1.1723999999999999,23.555626293172054,0,0
[Li]<-N=C1CN(C(C)C)C(C(C)C)C1=O,0.9430699999999999,21.773038357472547,0,0
[Li]<-n1cc(-c2ccccc2)n(CO)c1,1.1190999999999998,19.290148018462517,0,0
[Li]<-P1(F)CC(c2ccccc2)=CC1C,3.4577000000000018,21.29555944612446,0,0
[Be]=[C]1N(C)C=C(N)N1c1ccccc1,0.45189999999999986,31.481776221550216,0,0
[Be]=[C]1CCCN(c2ccc(C)cc2)C1,1.93612,24.152474932357155,0,0
[Be]=[C]1Nc2c(Br)cccc2N1C(C)O,1.2751999999999997,26.126054432595893,0,0
[Li]<-O=C(CN1CCCCC1C)OCC,1.0430999999999997,21.964029922011775,0,0
[Li]<-P1(OC)OC=C(c2ccccc2)CO1,2.5668000000000006,28.043928059844028,0,0
[Li]<-P1(C(C)(C)C)OC1c1cccc(C)c1,3.838420000000002,23.778449785134487,0,0
[Li]<-[O-][n+]1cc(C)cc2cc(OC)ccc21,1.2571199999999998,22.306223141811238,0,0
[Li]<-N#Cc1ccc(C2COCOC2)cc1,1.26538,19.783542893522203,0,0
[Li]<-N#CCc1ccc(C#N)cc1,1.24356,20.189399968168072,0,0
[Li]<-N1=NC(C(C)(C)C)=CC1(C)C,2.780000000000001,24.502626134012417,0,0
[Li]<-P(=C(C)C(F)(F)F)C(C)(C)C,3.1049000000000015,27.852936495304792,0,0
[Li]<-Nc1ccccc1CC(C)=O,1.0195000000000003,23.929651440394718,0,0
[Li]<-NN1Cc2ccccc2C1=O,0.1352999999999993,20.014324367340443,0,0
[Li]<-n1cccc2c1C(=O)C(=O)N2,-0.16440000000000005,24.391214388031194,0,0
[Li]<-O=C1C=CC=C2C=CC=CC21,1.4130999999999998,24.78115549896546,0,0
[Li]<-O=C1Cc2ccccc2N1C,0.8247,20.205315931879674,0,0
[Li]<-NCc1cccc(C(=O)O)n1,-0.14230000000000015,17.73834155658125,0,0
[Li]<-O=C(Cc1ccccc1)NC,0.5942999999999998,23.078147381823968,0,0
[Li]<-O=C(OC)C1CCNC(=C)C1,0.2919000000000001,24.168390896068754,0,0
[Li]<-NCc1ccccc1C(C)=O,0.9671000000000001,19.974534458061438,0,0
[Li]<-O=C(OCC)c1c[nH]c(N)c1,0.3928,24.606079898137832,0,0
[Li]<-S(C)C(C)c1ccccc1C,3.0382200000000017,23.102021327391377,0,0
[Be]=[C]1CCCO1,0.09519999999999995,24.637911825561037,0,0
[Li]<-o1ccc(C)c1,1.20722,18.510265796593984,0,0
[Li]<-NCC(F)F,-0.17059999999999986,18.112366703803914,0,0
