Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,COc1cccc(-c2ccc3n(->[Ir]<-S(c4ccccc4)C3)c2)c1,0.3563218390804598,log P,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,1.0,log P,True
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,NC1=N->[Ir]<-O=P1(c1ccccc1)c1cccc(CO)c1,0.2413793103448276,log P + G parameter,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,Oc1cccc(-c2cn3->[Ir]<-n4ccccc4-c3[nH]2)c1,0.325,log P + G parameter,True
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,OCc1cccc(P2(c3ccccc3)=O->[Ir]<-n3ccsc32)c1,0.26373626373626374,G parameter,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,c1ccc(OC2=O->[Ir]<-NC2)cc1,0.2463768115942029,G parameter,True
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,c1ccn2->[Ir]<-n3c([nH]c4cc5ccccc5cc43)-c2c1,0.29411764705882354,log P - G parameter,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,SC1C=O->[Ir]<-O=CC1OCc1ccccc1,0.2125,log P - G parameter,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1CCC2(CO->[Ir]<-O=CO2)O1,0.3,log P,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P + G parameter,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1=O->[Ir]<-OC2CCOC2O1,0.22950819672131148,log P + G parameter,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,G parameter,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,G parameter,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P - G parameter,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P - G parameter,True
NC12NC(Cl)=CN1C=[Be]->[Ir]<-n1ccccc12,0.6390900000000004,45.949387235397104,1,0,NC12NC(Cl)=CN1C=[Be]->[Ir]<-n1ccccc12,NC12NC(Cl)=CN1C=[Be]->[Ir]<-n1ccccc12,1.0,log P,False
