Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,Cc1cccc(S2->[Ir]<-n3cc(-c4cccc(O)c4)ccc3C2)c1,0.23157894736842105,log P,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,COC(C)c1ccc2n(->[Ir]<-n3ccccc3-2)c1,0.33783783783783783,log P,True
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,OCC1=O->[Ir]<-n2ccccc2C2(C=CC=CN2)N1,0.24096385542168675,log P + G parameter,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,COc1ccccc1-c1cc2n(->[Ir]<-n3ccccc3-2)[nH]1,0.3625,log P + G parameter,True
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,OCP1(c2ccccc2)->[Ir]<-S(c2ccccc2)CC1,0.20454545454545456,G parameter,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,OCc1ccn2->[Ir]<-n3ccccc3-c2c1,0.3055555555555556,G parameter,True
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,Brc1ccccc1CN1CCN2->[Ir]<-n3ccccc3C=21,0.2823529411764706,log P - G parameter,False
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002,47.78768104408722,1,0,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,COc1cccc(C2P->[Ir]<-n3ccccc32)c1,1.0,log P - G parameter,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1CCOC12CO->[Ir]<-O=CO2,0.3,log P,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P + G parameter,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P + G parameter,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,G parameter,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,G parameter,True
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P - G parameter,False
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997,45.19337895909597,1,0,CCC1OC=O->[Ir]<-OC12COC(C)C2,CCC1OC=O->[Ir]<-OC12COC(C)C2,1.0,log P - G parameter,True
