Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1c(-c2ccc(OC)cc2)c(C)cn1CC(C)=O,0.2191780821917808,log P,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-[nH]1nc(N)cc1C(=O)OC,0.2,log P,True
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-[nH]1nc(C)c(N=C)c1C(=O)OCC,0.2982456140350877,log P + G parameter,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-[nH]1cc(C)c(C(=O)OC)n1,0.2222222222222222,log P + G parameter,True
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Be]=C1N(CC)C=C(C(=O)OCC)N1c1ccccc1,0.25,G parameter,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1cc(C)c(C(=O)OC)[nH]1,0.2692307692307692,G parameter,True
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1cc(C)c(C(=O)OC)[nH]1,0.2692307692307692,log P - G parameter,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Be]=C1N(C)C=C(C#N)N1C(C)C(=O)OCC,0.25396825396825395,log P - G parameter,True
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)Nc1ccc(-c2ccccc2)cc1C,0.4,log P,False
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)NC,0.2972972972972973,log P,True
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)Nc1ccccc1C(C)C,0.42,log P + G parameter,False
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)Nc1ccc(C)cc1,1.0,log P + G parameter,True
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)Nc1ccccc1C(C)C,0.42,G parameter,False
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)Nc1ccc(C)cc1,1.0,G parameter,True
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)C,0.2222222222222222,log P - G parameter,False
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)Nc1ccccc1C(C)C,0.42,log P - G parameter,True
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2C=Cc3c(F)cccc3C3C1CC23,0.2857142857142857,log P,False
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2C=CC=CC3C1CC23,0.5510204081632653,log P,True
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2C=CC=C(OC)C3C1CC23,0.35,log P + G parameter,False
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2CC3C=CC=CC2C13,0.52,log P + G parameter,True
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2C=CC=C(OC)C3C1CC23,0.35,G parameter,False
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2CC3C=CC=CC2C13,0.52,G parameter,True
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2CC3C=CC=CC2C13,0.52,log P - G parameter,False
[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2C=CC=C(OC)C3C1CC23,0.35,log P - G parameter,True
