Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1c(C(=O)OCC)cc(-c2ccccn2)c2ccccc21,0.26582278481012656,log P,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-[nH]1nc(N)cc1C(=O)OCC,0.3269230769230769,log P,True
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1c(C(=O)OCC)c(C)cn1-c1ccccc1,0.3384615384615385,log P + G parameter,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-N=CC(=O)OCC,0.2608695652173913,log P + G parameter,True
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Be]=C1N(C)C(C#N)=C(C(=O)OCC)N1C,0.288135593220339,G parameter,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1ccc(C=NOC)c(C(C)=O)c1,0.20967741935483872,G parameter,True
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1cc(C(=O)OCC)c(C)n1C=N,0.574468085106383,log P - G parameter,False
[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Be]=C1N(C)C=CN1CC(=O)OCC,0.2631578947368421,log P - G parameter,True
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-S=C(NC1CCCCC1)c1ccc(C)cc1,0.30158730158730157,log P,False
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)NC,0.2972972972972973,log P,True
[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Be]=C1NCCC(N)(CC)N1c1ccc(C)cc1,0.2698412698412698,log P + G parameter,False
