Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,log P,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=CC=C=1,0.36,log P,True
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=c2ccccc2=C=1,0.42857142857142855,log P + G parameter,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,log P + G parameter,True
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=c2ccccc2=C=1,0.42857142857142855,G parameter,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,G parameter,True
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,log P - G parameter,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,OC(O)CN1->[Ir]<-O=C2CCC=CC2=C=1,0.5094339622641509,log P - G parameter,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,Cc1cccc(C)c1N1->[Ir]<-n2c(C)cccc2C=1,0.3333333333333333,log P,False
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,CCN1->[Ir]<-n2ccccc2C=1,0.3064516129032258,log P,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,CC(C)N12->[Ir]<-n3c(ccc4ccccc43)C1N(C)C=C2,0.23255813953488372,log P + G parameter,False
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,[Li]<-n1cncn1Cc1ccccn1,0.24285714285714285,log P + G parameter,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,CC(C)N1->[Ir]<-n2c(ccc3ccccc32)C1C,0.22784810126582278,G parameter,False
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,[Li]<-n1cc(NCc2ccccc2)co1,0.21621621621621623,G parameter,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,[Li]<-P1=CCC=C(Nc2cccc(C)c2C)C1,0.23684210526315788,log P - G parameter,False
