Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2Cc3ccccc3CC2=C=1,0.4375,log P,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,log P,True
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=c2c(ccc3ccccc23)=C=1,0.35294117647058826,log P + G parameter,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,log P + G parameter,True
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]2(<-O=C(c3ccccc3)C=C=1)<-PCCP->2(CO)CO,0.2,G parameter,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,G parameter,True
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.0,log P - G parameter,False
COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,1.494,43.48241286009868,1,1,COC(C)N1->[Ir]<-O=C2CCC=CC2=C=1,COC(C)N1->[Ir]2(<-O=C(c3ccccc3)C=C=1)<-PCCP->2(CO)CO,0.2,log P - G parameter,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,Cc1cccc(C)c1N1->[Ir]<-n2c(C)cccc2C=1,0.3333333333333333,log P,False
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,CC1c2ccccn2->[Ir]<-N1C,0.2698412698412698,log P,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,Cc1cccc(C)c1N1->[Ir]<-n2cccc(C)c2C1C,0.3246753246753247,log P + G parameter,False
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,[Li]<-Nc1ccc(C)c(C)n1,0.20634920634920634,log P + G parameter,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,Cc1cccn2->[Ir]<-N(C(C)C)C(C)c12,0.24285714285714285,G parameter,False
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,[Li]<-Nc1ccc(C)c(C)n1,0.20634920634920634,G parameter,True
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,Cc1ccccc1N1->[Ir]<-n2c(C)cccc2C1,0.3424657534246575,log P - G parameter,False
CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,2.925720000000001,37.64125417794048,1,2,CC1=N(c2ncccc2C)->[Ir]<-n2ccccc21,Cc1cccn2->[Ir]<-N(C(C)C)C(C)c12,0.24285714285714285,log P - G parameter,True
ON1->[Ir]<-n2ccccc2C12CC=CC=N2,1.2439000000000002,41.74757281553398,1,2,ON1->[Ir]<-n2ccccc2C12CC=CC=N2,ON1->[Ir]<-n2ccccc2C12CC=CC=N2,1.0,log P,False
